Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
case-10	query hasa	1	10	44	2900	2.95	218714112.0	218714112.0
case-10	query hasa	2	10	44	2900	2.77	218562560.0	218562560.0
case-10	query hasa	3	10	44	2900	2.7199999999999998	218771456.0	218771456.0
case-10	query hasa	4	10	44	2900	2.7800000000000002	218378240.0	218378240.0
case-10	query hasa	5	10	44	2900	2.59	218669056.0	218669056.0
case-10	query hasa	6	10	44	2900	2.91	219471872.0	219471872.0
case-10	query hasa	7	10	44	2900	2.81	218607616.0	218607616.0
case-10	query hasa	8	10	44	2900	2.77	218943488.0	218943488.0
case-10	query hasa	9	10	44	2900	2.79	218714112.0	218714112.0
case-10	query hasa	10	10	44	2900	2.7	219127808.0	219127808.0
case-10	query isa	1	10	44	2900	2.74	218546176.0	218546176.0
case-10	query isa	2	10	44	2900	2.67	218800128.0	218800128.0
case-10	query isa	3	10	44	2900	2.65	218398720.0	218398720.0
case-10	query isa	4	10	44	2900	2.8	218234880.0	218234880.0
case-10	query isa	5	10	44	2900	2.81	218271744.0	218271744.0
case-10	query isa	6	10	44	2900	2.76	218624000.0	218624000.0
case-10	query isa	7	10	44	2900	2.89	217903104.0	217903104.0
case-10	query isa	8	10	44	2900	2.82	218476544.0	218476544.0
case-10	query isa	9	10	44	2900	2.76	217874432.0	217874432.0
case-10	query isa	10	10	44	2900	2.87	217931776.0	217931776.0
case-10	query --summary	1	10	44	2900	2.85	219459584.0	219459584.0
case-10	query --summary	2	10	44	2900	2.77	218681344.0	218681344.0
case-10	query --summary	3	10	44	2900	2.94	219312128.0	219312128.0
case-10	query --summary	4	10	44	2900	2.8	218226688.0	218226688.0
case-10	query --summary	5	10	44	2900	2.82	218886144.0	218886144.0
case-10	query --summary	6	10	44	2900	2.7800000000000002	218697728.0	218697728.0
case-10	query --summary	7	10	44	2900	2.76	218624000.0	218624000.0
case-10	query --summary	8	10	44	2900	2.82	218689536.0	218689536.0
case-10	query --summary	9	10	44	2900	2.73	218689536.0	218689536.0
case-10	query --summary	10	10	44	2900	2.79	218644480.0	218644480.0
case-10	query --features-summary	1	10	44	2900	2.83	220205056.0	220205056.0
case-10	query --features-summary	2	10	44	2900	2.76	219676672.0	219676672.0
case-10	query --features-summary	3	10	44	2900	2.75	219987968.0	219987968.0
case-10	query --features-summary	4	10	44	2900	2.7800000000000002	220344320.0	220344320.0
case-10	query --features-summary	5	10	44	2900	2.77	220516352.0	220516352.0
case-10	query --features-summary	6	10	44	2900	2.8	220192768.0	220192768.0
case-10	query --features-summary	7	10	44	2900	2.86	220241920.0	220241920.0
case-10	query --features-summary	8	10	44	2900	2.77	220282880.0	220282880.0
case-10	query --features-summary	9	10	44	2900	2.91	219795456.0	219795456.0
case-10	query --features-summary	10	10	44	2900	2.75	220205056.0	220205056.0
case-10	list samples	1	10	44	2900	2.69	217104384.0	217104384.0
case-10	list samples	2	10	44	2900	2.66	217620480.0	217620480.0
case-10	list samples	3	10	44	2900	2.66	217432064.0	217432064.0
case-10	list samples	4	10	44	2900	2.67	217059328.0	217059328.0
case-10	list samples	5	10	44	2900	2.75	217341952.0	217341952.0
case-10	list samples	6	10	44	2900	2.66	217874432.0	217874432.0
case-10	list samples	7	10	44	2900	2.73	217587712.0	217587712.0
case-10	list samples	8	10	44	2900	2.7	217268224.0	217268224.0
case-10	list samples	9	10	44	2900	2.7800000000000002	217317376.0	217317376.0
case-10	list samples	10	10	44	2900	2.67	217296896.0	217296896.0
case-10	query isin	1	10	44	2900	2.71	218427392.0	218427392.0
case-10	query isin	2	10	44	2900	2.7199999999999998	218529792.0	218529792.0
case-10	query isin	3	10	44	2900	2.79	218832896.0	218832896.0
case-10	query isin	4	10	44	2900	2.7199999999999998	218537984.0	218537984.0
case-10	query isin	5	10	44	2900	2.73	218578944.0	218578944.0
case-10	query isin	6	10	44	2900	2.74	218378240.0	218378240.0
case-10	query isin	7	10	44	2900	2.75	218595328.0	218595328.0
case-10	query isin	8	10	44	2900	2.76	218206208.0	218206208.0
case-10	query isin	9	10	44	2900	2.75	218492928.0	218492928.0
case-10	query isin	10	10	44	2900	2.79	218075136.0	218075136.0
