Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
case-10000-batch-10000	query hasa	1	10000	9186	39089	3.27	242147328.0	242147328.0
case-10000-batch-10000	query hasa	2	10000	9186	39089	2.93	241549312.0	241549312.0
case-10000-batch-10000	query hasa	3	10000	9186	39089	3.2	242143232.0	242143232.0
case-10000-batch-10000	query hasa	4	10000	9186	39089	2.93	241463296.0	241463296.0
case-10000-batch-10000	query hasa	5	10000	9186	39089	3.2	241922048.0	241922048.0
case-10000-batch-10000	query hasa	6	10000	9186	39089	3.2	241979392.0	241979392.0
case-10000-batch-10000	query hasa	7	10000	9186	39089	3.22	241750016.0	241750016.0
case-10000-batch-10000	query hasa	8	10000	9186	39089	3.29	242139136.0	242139136.0
case-10000-batch-10000	query hasa	9	10000	9186	39089	3.08	241995776.0	241995776.0
case-10000-batch-10000	query hasa	10	10000	9186	39089	3.16	241905664.0	241905664.0
case-10000-batch-10000	query isa	1	10000	9186	39089	2.79	222482432.0	222482432.0
case-10000-batch-10000	query isa	2	10000	9186	39089	2.6	222715904.0	222715904.0
case-10000-batch-10000	query isa	3	10000	9186	39089	2.89	222367744.0	222367744.0
case-10000-batch-10000	query isa	4	10000	9186	39089	2.88	222281728.0	222281728.0
case-10000-batch-10000	query isa	5	10000	9186	39089	2.64	222666752.0	222666752.0
case-10000-batch-10000	query isa	6	10000	9186	39089	2.83	222556160.0	222556160.0
case-10000-batch-10000	query isa	7	10000	9186	39089	2.81	222445568.0	222445568.0
case-10000-batch-10000	query isa	8	10000	9186	39089	2.6	222593024.0	222593024.0
case-10000-batch-10000	query isa	9	10000	9186	39089	2.68	222912512.0	222912512.0
case-10000-batch-10000	query isa	10	10000	9186	39089	2.9	222523392.0	222523392.0
case-10000-batch-10000	query --summary	1	10000	9186	39089	3.03	223641600.0	223641600.0
case-10000-batch-10000	query --summary	2	10000	9186	39089	2.91	224247808.0	224247808.0
case-10000-batch-10000	query --summary	3	10000	9186	39089	2.96	224407552.0	224407552.0
case-10000-batch-10000	query --summary	4	10000	9186	39089	3.02	224071680.0	224071680.0
case-10000-batch-10000	query --summary	5	10000	9186	39089	3.01	223907840.0	223907840.0
case-10000-batch-10000	query --summary	6	10000	9186	39089	2.94	224006144.0	224006144.0
case-10000-batch-10000	query --summary	7	10000	9186	39089	2.73	224034816.0	224034816.0
case-10000-batch-10000	query --summary	8	10000	9186	39089	2.92	223784960.0	223784960.0
case-10000-batch-10000	query --summary	9	10000	9186	39089	2.95	223588352.0	223588352.0
case-10000-batch-10000	query --summary	10	10000	9186	39089	2.85	223850496.0	223850496.0
case-10000-batch-10000	query --features-summary	1	10000	9186	39089	3.9699999999999998	273043456.0	273043456.0
case-10000-batch-10000	query --features-summary	2	10000	9186	39089	3.95	272789504.0	272789504.0
case-10000-batch-10000	query --features-summary	3	10000	9186	39089	3.92	273137664.0	273137664.0
case-10000-batch-10000	query --features-summary	4	10000	9186	39089	4.08	273391616.0	273391616.0
case-10000-batch-10000	query --features-summary	5	10000	9186	39089	3.69	272953344.0	272953344.0
case-10000-batch-10000	query --features-summary	6	10000	9186	39089	4.06	272777216.0	272777216.0
case-10000-batch-10000	query --features-summary	7	10000	9186	39089	3.92	273235968.0	273235968.0
case-10000-batch-10000	query --features-summary	8	10000	9186	39089	3.94	273383424.0	273383424.0
case-10000-batch-10000	query --features-summary	9	10000	9186	39089	3.9699999999999998	273227776.0	273227776.0
case-10000-batch-10000	query --features-summary	10	10000	9186	39089	4.11	273387520.0	273387520.0
case-10000-batch-10000	list samples	1	10000	9186	39089	2.77	232931328.0	232931328.0
case-10000-batch-10000	list samples	2	10000	9186	39089	3.04	233967616.0	233967616.0
case-10000-batch-10000	list samples	3	10000	9186	39089	2.7800000000000002	234250240.0	234250240.0
case-10000-batch-10000	list samples	4	10000	9186	39089	2.9699999999999998	233631744.0	233631744.0
case-10000-batch-10000	list samples	5	10000	9186	39089	2.93	233914368.0	233914368.0
case-10000-batch-10000	list samples	6	10000	9186	39089	2.9	233644032.0	233644032.0
case-10000-batch-10000	list samples	7	10000	9186	39089	3.0	233312256.0	233312256.0
case-10000-batch-10000	list samples	8	10000	9186	39089	2.93	233443328.0	233443328.0
case-10000-batch-10000	list samples	9	10000	9186	39089	2.7199999999999998	233623552.0	233623552.0
case-10000-batch-10000	list samples	10	10000	9186	39089	2.9699999999999998	232775680.0	232775680.0
