Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
case-10000-batch-10000	query hasa	1	10000	9186	39089	3.27	240795648.0	240795648.0
case-10000-batch-10000	query hasa	2	10000	9186	39089	3.12	240488448.0	240488448.0
case-10000-batch-10000	query hasa	3	10000	9186	39089	3.52	240865280.0	240865280.0
case-10000-batch-10000	query hasa	4	10000	9186	39089	3.17	240947200.0	240947200.0
case-10000-batch-10000	query hasa	5	10000	9186	39089	3.18	240734208.0	240734208.0
case-10000-batch-10000	query hasa	6	10000	9186	39089	3.4699999999999998	239874048.0	239874048.0
case-10000-batch-10000	query hasa	7	10000	9186	39089	3.4	239919104.0	239919104.0
case-10000-batch-10000	query hasa	8	10000	9186	39089	3.44	240570368.0	240570368.0
case-10000-batch-10000	query hasa	9	10000	9186	39089	3.24	240660480.0	240660480.0
case-10000-batch-10000	query hasa	10	10000	9186	39089	3.33	240582656.0	240582656.0
case-10000-batch-10000	query isa	1	10000	9186	39089	2.86	222740480.0	222740480.0
case-10000-batch-10000	query isa	2	10000	9186	39089	2.9699999999999998	222568448.0	222568448.0
case-10000-batch-10000	query isa	3	10000	9186	39089	3.0	222752768.0	222752768.0
case-10000-batch-10000	query isa	4	10000	9186	39089	2.77	222203904.0	222203904.0
case-10000-batch-10000	query isa	5	10000	9186	39089	2.91	222474240.0	222474240.0
case-10000-batch-10000	query isa	6	10000	9186	39089	2.95	222838784.0	222838784.0
case-10000-batch-10000	query isa	7	10000	9186	39089	2.81	222420992.0	222420992.0
case-10000-batch-10000	query isa	8	10000	9186	39089	3.03	222879744.0	222879744.0
case-10000-batch-10000	query isa	9	10000	9186	39089	2.81	222658560.0	222658560.0
case-10000-batch-10000	query isa	10	10000	9186	39089	2.83	222519296.0	222519296.0
case-10000-batch-10000	query --summary	1	10000	9186	39089	2.87	224473088.0	224473088.0
case-10000-batch-10000	query --summary	2	10000	9186	39089	3.18	224280576.0	224280576.0
case-10000-batch-10000	query --summary	3	10000	9186	39089	2.91	223735808.0	223735808.0
case-10000-batch-10000	query --summary	4	10000	9186	39089	3.03	224182272.0	224182272.0
case-10000-batch-10000	query --summary	5	10000	9186	39089	3.06	224219136.0	224219136.0
case-10000-batch-10000	query --summary	6	10000	9186	39089	2.89	224202752.0	224202752.0
case-10000-batch-10000	query --summary	7	10000	9186	39089	3.03	224079872.0	224079872.0
case-10000-batch-10000	query --summary	8	10000	9186	39089	3.18	224432128.0	224432128.0
case-10000-batch-10000	query --summary	9	10000	9186	39089	3.09	223969280.0	223969280.0
case-10000-batch-10000	query --summary	10	10000	9186	39089	3.07	223809536.0	223809536.0
case-10000-batch-10000	query --features-summary	1	10000	9186	39089	3.9	273018880.0	273018880.0
case-10000-batch-10000	query --features-summary	2	10000	9186	39089	4.36	272592896.0	272592896.0
case-10000-batch-10000	query --features-summary	3	10000	9186	39089	4.17	273424384.0	273424384.0
case-10000-batch-10000	query --features-summary	4	10000	9186	39089	4.21	273440768.0	273440768.0
case-10000-batch-10000	query --features-summary	5	10000	9186	39089	4.42	273403904.0	273403904.0
case-10000-batch-10000	query --features-summary	6	10000	9186	39089	4.29	272941056.0	272941056.0
case-10000-batch-10000	query --features-summary	7	10000	9186	39089	4.18	272949248.0	272949248.0
case-10000-batch-10000	query --features-summary	8	10000	9186	39089	4.2	272900096.0	272900096.0
case-10000-batch-10000	query --features-summary	9	10000	9186	39089	4.16	273928192.0	273928192.0
case-10000-batch-10000	query --features-summary	10	10000	9186	39089	4.2	274268160.0	274268160.0
case-10000-batch-10000	list samples	1	10000	9186	39089	3.13	234053632.0	234053632.0
case-10000-batch-10000	list samples	2	10000	9186	39089	3.11	233807872.0	233807872.0
case-10000-batch-10000	list samples	3	10000	9186	39089	3.11	233627648.0	233627648.0
case-10000-batch-10000	list samples	4	10000	9186	39089	2.93	233701376.0	233701376.0
case-10000-batch-10000	list samples	5	10000	9186	39089	3.03	233635840.0	233635840.0
case-10000-batch-10000	list samples	6	10000	9186	39089	3.11	234418176.0	234418176.0
case-10000-batch-10000	list samples	7	10000	9186	39089	3.02	233680896.0	233680896.0
case-10000-batch-10000	list samples	8	10000	9186	39089	3.17	233533440.0	233533440.0
case-10000-batch-10000	list samples	9	10000	9186	39089	3.22	233385984.0	233385984.0
case-10000-batch-10000	list samples	10	10000	9186	39089	3.03	233889792.0	233889792.0
