Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
case-200	db.samples_query	200	639	19476	50	1	0.003960477057844401
case-200	db.samples_query	200	639	19476	50	2	0.0039623318985104565
case-200	db.samples_query	200	639	19476	50	3	0.003978513553738594
case-200	db.samples_query	200	639	19476	50	4	0.003982295226305724
case-200	db.samples_query	200	639	19476	50	5	0.00399850333109498
case-200	db.samples_query	200	639	19476	50	6	0.003970361035317183
case-200	db.samples_query	200	639	19476	50	7	0.003969277553260327
case-200	db.samples_query	200	639	19476	50	8	0.00395665779709816
case-200	db.samples_query	200	639	19476	50	9	0.003972355332225561
case-200	db.samples_query	200	639	19476	50	10	0.00397120263427496
case-200	q.join	200	639	19476	1	1	0.27746609412133694
case-200	q.join	200	639	19476	1	2	0.2749489266425371
case-200	q.join	200	639	19476	1	3	0.2771448288112879
case-200	q.join	200	639	19476	1	4	0.2708861641585827
case-200	q.join	200	639	19476	1	5	0.27744288090616465
case-200	q.join	200	639	19476	1	6	0.2773865330964327
case-200	q.join	200	639	19476	1	7	0.2746198372915387
case-200	q.join	200	639	19476	1	8	0.29992754105478525
case-200	q.join	200	639	19476	1	9	0.268915755674243
case-200	q.join	200	639	19476	1	10	0.2641032263636589
case-200	q.features_summary	200	639	19476	5	1	0.05927572697401047
case-200	q.features_summary	200	639	19476	5	2	0.059245478548109534
case-200	q.features_summary	200	639	19476	5	3	0.05924422424286604
case-200	q.features_summary	200	639	19476	5	4	0.059349631890654564
case-200	q.features_summary	200	639	19476	5	5	0.05916150715202093
case-200	q.features_summary	200	639	19476	5	6	0.05920985322445631
case-200	q.features_summary	200	639	19476	5	7	0.05915773864835501
case-200	q.features_summary	200	639	19476	5	8	0.05927340630441904
case-200	q.features_summary	200	639	19476	5	9	0.059233045764267446
case-200	q.features_summary	200	639	19476	5	10	0.05943441223353148
case-200	q.features_comparison	200	639	19476	2	1	0.12079093139618635
case-200	q.features_comparison	200	639	19476	2	2	0.12093316437676549
case-200	q.features_comparison	200	639	19476	2	3	0.12204618472605944
case-200	q.features_comparison	200	639	19476	2	4	0.12773380102589726
case-200	q.features_comparison	200	639	19476	2	5	0.12658628355711699
case-200	q.features_comparison	200	639	19476	2	6	0.12627357663586736
case-200	q.features_comparison	200	639	19476	2	7	0.12573003815487027
case-200	q.features_comparison	200	639	19476	2	8	0.12667753174901009
case-200	q.features_comparison	200	639	19476	2	9	0.1268592644482851
case-200	q.features_comparison	200	639	19476	2	10	0.12262700544670224
case-200	q.hasa	200	639	19476	20	1	0.01983616640791297
case-200	q.hasa	200	639	19476	20	2	0.019050383195281028
case-200	q.hasa	200	639	19476	20	3	0.018781457003206013
case-200	q.hasa	200	639	19476	20	4	0.018719693273305894
case-200	q.hasa	200	639	19476	20	5	0.018725553015246987
case-200	q.hasa	200	639	19476	20	6	0.018760552164167166
case-200	q.hasa	200	639	19476	20	7	0.018741417722776533
case-200	q.hasa	200	639	19476	20	8	0.018733563972637056
