Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
case-2000	query hasa	1	2000	2656	32489	3.19	227180544.0	227180544.0
case-2000	query hasa	2	2000	2656	32489	2.9699999999999998	227110912.0	227110912.0
case-2000	query hasa	3	2000	2656	32489	2.9	226750464.0	226750464.0
case-2000	query hasa	4	2000	2656	32489	3.11	226521088.0	226521088.0
case-2000	query hasa	5	2000	2656	32489	2.95	226750464.0	226750464.0
case-2000	query hasa	6	2000	2656	32489	2.91	226758656.0	226758656.0
case-2000	query hasa	7	2000	2656	32489	2.93	226566144.0	226566144.0
case-2000	query hasa	8	2000	2656	32489	2.93	226840576.0	226840576.0
case-2000	query hasa	9	2000	2656	32489	3.07	226775040.0	226775040.0
case-2000	query hasa	10	2000	2656	32489	3.0	226746368.0	226746368.0
case-2000	query isa	1	2000	2656	32489	2.8	221687808.0	221687808.0
case-2000	query isa	2	2000	2656	32489	2.64	221540352.0	221540352.0
case-2000	query isa	3	2000	2656	32489	2.81	221302784.0	221302784.0
case-2000	query isa	4	2000	2656	32489	2.91	221515776.0	221515776.0
case-2000	query isa	5	2000	2656	32489	2.82	221401088.0	221401088.0
case-2000	query isa	6	2000	2656	32489	2.94	221011968.0	221011968.0
case-2000	query isa	7	2000	2656	32489	2.75	221786112.0	221786112.0
case-2000	query isa	8	2000	2656	32489	2.83	221159424.0	221159424.0
case-2000	query isa	9	2000	2656	32489	2.87	221872128.0	221872128.0
case-2000	query isa	10	2000	2656	32489	2.81	222015488.0	222015488.0
case-2000	query --summary	1	2000	2656	32489	2.85	223846400.0	223846400.0
case-2000	query --summary	2	2000	2656	32489	3.03	223428608.0	223428608.0
case-2000	query --summary	3	2000	2656	32489	2.84	223993856.0	223993856.0
case-2000	query --summary	4	2000	2656	32489	2.76	223698944.0	223698944.0
case-2000	query --summary	5	2000	2656	32489	2.95	223858688.0	223858688.0
case-2000	query --summary	6	2000	2656	32489	2.91	224145408.0	224145408.0
case-2000	query --summary	7	2000	2656	32489	2.88	222982144.0	222982144.0
case-2000	query --summary	8	2000	2656	32489	2.89	223330304.0	223330304.0
case-2000	query --summary	9	2000	2656	32489	3.01	223748096.0	223748096.0
case-2000	query --summary	10	2000	2656	32489	2.88	223539200.0	223539200.0
case-2000	query --features-summary	1	2000	2656	32489	3.16	237678592.0	237678592.0
case-2000	query --features-summary	2	2000	2656	32489	3.25	238419968.0	238419968.0
case-2000	query --features-summary	3	2000	2656	32489	3.16	237871104.0	237871104.0
case-2000	query --features-summary	4	2000	2656	32489	3.26	237780992.0	237780992.0
case-2000	query --features-summary	5	2000	2656	32489	3.33	238092288.0	238092288.0
case-2000	query --features-summary	6	2000	2656	32489	3.32	237826048.0	237826048.0
case-2000	query --features-summary	7	2000	2656	32489	3.0	237879296.0	237879296.0
case-2000	query --features-summary	8	2000	2656	32489	3.11	238157824.0	238157824.0
case-2000	query --features-summary	9	2000	2656	32489	3.17	237973504.0	237973504.0
case-2000	query --features-summary	10	2000	2656	32489	3.13	237633536.0	237633536.0
case-2000	list samples	1	2000	2656	32489	2.86	223023104.0	223023104.0
case-2000	list samples	2	2000	2656	32489	2.86	222601216.0	222601216.0
case-2000	list samples	3	2000	2656	32489	2.82	223219712.0	223219712.0
case-2000	list samples	4	2000	2656	32489	2.92	223117312.0	223117312.0
case-2000	list samples	5	2000	2656	32489	2.79	222912512.0	222912512.0
case-2000	list samples	6	2000	2656	32489	2.92	222957568.0	222957568.0
case-2000	list samples	7	2000	2656	32489	2.85	223207424.0	223207424.0
case-2000	list samples	8	2000	2656	32489	2.8	223277056.0	223277056.0
case-2000	list samples	9	2000	2656	32489	2.59	223039488.0	223039488.0
case-2000	list samples	10	2000	2656	32489	2.99	222949376.0	222949376.0
