Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	1	0.02286935206502676
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	2	0.022825435735285282
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	3	0.023661086335778236
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	4	0.02297834921628237
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	5	0.02290680315345526
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	6	0.02280778530985117
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	7	0.022894787415862084
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	8	0.022800430096685885
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	9	0.022908267565071583
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	10	0.02281188443303108
case-20000-batch-10000	q.join	20000	15806	45709	1	1	0.414235919713974
case-20000-batch-10000	q.join	20000	15806	45709	1	2	0.4123332928866148
case-20000-batch-10000	q.join	20000	15806	45709	1	3	0.4117522481828928
case-20000-batch-10000	q.join	20000	15806	45709	1	4	0.41202786192297935
case-20000-batch-10000	q.join	20000	15806	45709	1	5	0.41194348596036434
case-20000-batch-10000	q.join	20000	15806	45709	1	6	0.4138867352157831
case-20000-batch-10000	q.join	20000	15806	45709	1	7	0.4120017718523741
case-20000-batch-10000	q.join	20000	15806	45709	1	8	0.4133835770189762
case-20000-batch-10000	q.join	20000	15806	45709	1	9	0.4166067000478506
case-20000-batch-10000	q.join	20000	15806	45709	1	10	0.45593685284256935
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	1	1.3144478853791952
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	2	1.3159135058522224
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	3	1.309462433680892
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	4	1.3165655080229044
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	5	1.3141907267272472
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	6	1.3102727960795164
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	7	1.307102581486106
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	8	1.3377451077103615
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	9	1.3116142693907022
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	10	1.3097405023872852
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	1	38.29982488043606
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	2	38.779489412903786
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	3	38.354428900405765
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	4	38.55939061194658
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	5	38.500448264181614
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	6	39.05825196020305
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	7	38.46625409461558
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	8	38.333940509706736
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	9	38.40278872847557
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	10	38.26613380201161
