Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	1	0.022874938696622847
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	2	0.022856420651078225
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	3	0.02283426895737648
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	4	0.022823310270905495
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	5	0.02283648382872343
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	6	0.02282253187149763
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	7	0.022904054261744022
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	8	0.023457950726151467
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	9	0.02286993321031332
case-20000-batch-10000	db.samples_query	20000	15806	45709	10	10	0.022862992621958254
case-20000-batch-10000	q.join	20000	15806	45709	1	1	0.4805266633629799
case-20000-batch-10000	q.join	20000	15806	45709	1	2	0.480955995619297
case-20000-batch-10000	q.join	20000	15806	45709	1	3	0.48150902427732944
case-20000-batch-10000	q.join	20000	15806	45709	1	4	0.4806622825562954
case-20000-batch-10000	q.join	20000	15806	45709	1	5	0.481774240732193
case-20000-batch-10000	q.join	20000	15806	45709	1	6	0.47957631200551987
case-20000-batch-10000	q.join	20000	15806	45709	1	7	0.5034383609890938
case-20000-batch-10000	q.join	20000	15806	45709	1	8	0.48309910111129284
case-20000-batch-10000	q.join	20000	15806	45709	1	9	0.4806880448013544
case-20000-batch-10000	q.join	20000	15806	45709	1	10	0.48062049224972725
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	1	1.360063361003995
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	2	1.3616484869271517
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	3	1.3548811599612236
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	4	1.3573537915945053
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	5	1.3818947486579418
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	6	1.3599226921796799
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	7	1.3544896915555
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	8	1.3516773357987404
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	9	1.352013135328889
case-20000-batch-10000	q.features_summary	20000	15806	45709	1	10	1.356975132599473
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	1	35.2830876391381
case-20000-batch-10000	q.features_comparison	20000	15806	45709	1	2	34.54349257238209
