Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
case-5000	db.samples_query	5000	5760	35663	50	1	0.006224357485771179
case-5000	db.samples_query	5000	5760	35663	50	2	0.0061923908442258835
case-5000	db.samples_query	5000	5760	35663	50	3	0.006189325861632824
case-5000	db.samples_query	5000	5760	35663	50	4	0.006198038570582867
case-5000	db.samples_query	5000	5760	35663	50	5	0.006195820569992065
case-5000	db.samples_query	5000	5760	35663	50	6	0.00619035679847002
case-5000	db.samples_query	5000	5760	35663	50	7	0.006199279800057411
case-5000	db.samples_query	5000	5760	35663	50	8	0.006209523677825928
case-5000	db.samples_query	5000	5760	35663	50	9	0.006189374737441539
case-5000	db.samples_query	5000	5760	35663	50	10	0.006193909198045731
case-5000	q.join	5000	5760	35663	1	1	0.3190779313445091
case-5000	q.join	5000	5760	35663	1	2	0.31987079977989197
case-5000	q.join	5000	5760	35663	1	3	0.31886383332312107
case-5000	q.join	5000	5760	35663	1	4	0.3194648325443268
case-5000	q.join	5000	5760	35663	1	5	0.3192854542285204
case-5000	q.join	5000	5760	35663	1	6	0.3184069227427244
case-5000	q.join	5000	5760	35663	1	7	0.3189238905906677
case-5000	q.join	5000	5760	35663	1	8	0.31867806799709797
case-5000	q.join	5000	5760	35663	1	9	0.31952580995857716
case-5000	q.join	5000	5760	35663	1	10	0.3232110384851694
case-5000	q.features_summary	5000	5760	35663	1	1	0.48631792701780796
case-5000	q.features_summary	5000	5760	35663	1	2	0.4724148344248533
case-5000	q.features_summary	5000	5760	35663	1	3	0.4688302520662546
case-5000	q.features_summary	5000	5760	35663	1	4	0.4708565827459097
case-5000	q.features_summary	5000	5760	35663	1	5	0.4730870220810175
case-5000	q.features_summary	5000	5760	35663	1	6	0.4692904204130173
case-5000	q.features_summary	5000	5760	35663	1	7	0.469645606353879
case-5000	q.features_summary	5000	5760	35663	1	8	0.47122002579271793
case-5000	q.features_summary	5000	5760	35663	1	9	0.4729474410414696
case-5000	q.features_summary	5000	5760	35663	1	10	0.4691006988286972
case-5000	q.features_comparison	5000	5760	35663	1	1	7.355033814907074
case-5000	q.features_comparison	5000	5760	35663	1	2	7.289850348606706
case-5000	q.features_comparison	5000	5760	35663	1	3	7.317449424415827
case-5000	q.features_comparison	5000	5760	35663	1	4	7.330827925354242
case-5000	q.features_comparison	5000	5760	35663	1	5	7.484405670315027
case-5000	q.features_comparison	5000	5760	35663	1	6	7.276216635480523
case-5000	q.features_comparison	5000	5760	35663	1	7	7.279818462207913
case-5000	q.features_comparison	5000	5760	35663	1	8	7.284493276849389
case-5000	q.features_comparison	5000	5760	35663	1	9	7.377074979245663
case-5000	q.features_comparison	5000	5760	35663	1	10	7.404706489294767
case-5000	q.hasa	5000	5760	35663	2	1	0.11029594391584396
case-5000	q.hasa	5000	5760	35663	2	2	0.11030204594135284
case-5000	q.hasa	5000	5760	35663	2	3	0.11031006835401058
case-5000	q.hasa	5000	5760	35663	2	4	0.11029304377734661
case-5000	q.hasa	5000	5760	35663	2	5	0.11028543207794428
case-5000	q.hasa	5000	5760	35663	2	6	0.11036752630025148
case-5000	q.hasa	5000	5760	35663	2	7	0.11021027900278568
case-5000	q.hasa	5000	5760	35663	2	8	0.11130762938410044
case-5000	q.hasa	5000	5760	35663	2	9	0.11014468036592007
case-5000	q.hasa	5000	5760	35663	2	10	0.11032534763216972
case-5000	q.isa	5000	5760	35663	500	1	0.0006119350232183933
case-5000	q.isa	5000	5760	35663	500	2	0.0006123059764504432
case-5000	q.isa	5000	5760	35663	500	3	0.0006123017072677613
case-5000	q.isa	5000	5760	35663	500	4	0.0006125630475580692
case-5000	q.isa	5000	5760	35663	500	5	0.0006123181208968163
case-5000	q.isa	5000	5760	35663	500	6	0.0006123275868594646
case-5000	q.isa	5000	5760	35663	500	7	0.0006152160875499248
