Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
unset	db.samples_query	10	44	2900	500	1	0.0007124109100550413
unset	db.samples_query	10	44	2900	500	2	0.0007128012962639332
unset	db.samples_query	10	44	2900	500	3	0.0007102634776383638
unset	db.samples_query	10	44	2900	500	4	0.0007087733410298824
unset	db.samples_query	10	44	2900	500	5	0.0006910318154841661
unset	db.samples_query	10	44	2900	500	6	0.0006904261484742165
unset	db.samples_query	10	44	2900	500	7	0.0006999572571367025
unset	db.samples_query	10	44	2900	500	8	0.0006990909241139889
unset	db.samples_query	10	44	2900	500	9	0.0007005603015422821
unset	db.samples_query	10	44	2900	500	10	0.0006992357987910509
unset	q.join	10	44	2900	1	1	0.28063985146582127
unset	q.join	10	44	2900	1	2	0.2937894556671381
unset	q.join	10	44	2900	1	3	0.28600649256259203
unset	q.join	10	44	2900	1	4	0.281553877517581
unset	q.join	10	44	2900	1	5	0.30058008432388306
unset	q.join	10	44	2900	1	6	0.28258776292204857
unset	q.join	10	44	2900	1	7	0.29725658521056175
unset	q.join	10	44	2900	1	8	0.29768494237214327
unset	q.join	10	44	2900	1	9	0.298575627617538
unset	q.join	10	44	2900	1	10	0.2871742881834507
unset	q.features_summary	10	44	2900	50	1	0.008884090334177017
unset	q.features_summary	10	44	2900	50	2	0.008918850310146808
unset	q.features_summary	10	44	2900	50	3	0.008720896430313587
unset	q.features_summary	10	44	2900	50	4	0.008663152437657117
unset	q.features_summary	10	44	2900	50	5	0.008564113043248653
unset	q.features_summary	10	44	2900	50	6	0.008543304447084666
unset	q.features_summary	10	44	2900	50	7	0.008586006630212068
unset	q.features_summary	10	44	2900	50	8	0.008572705667465924
unset	q.features_summary	10	44	2900	50	9	0.008747797105461358
unset	q.features_summary	10	44	2900	50	10	0.008666069339960813
unset	q.features_comparison	10	44	2900	20	1	0.010884951148182154
unset	q.features_comparison	10	44	2900	20	2	0.010934717673808336
unset	q.features_comparison	10	44	2900	20	3	0.010958591056987644
unset	q.features_comparison	10	44	2900	20	4	0.010983392922207713
unset	q.features_comparison	10	44	2900	20	5	0.011017316626384855
unset	q.features_comparison	10	44	2900	20	6	0.010911551816388965
unset	q.features_comparison	10	44	2900	20	7	0.010790028609335423
unset	q.features_comparison	10	44	2900	20	8	0.010766591830179095
unset	q.features_comparison	10	44	2900	20	9	0.010837475070729852
unset	q.features_comparison	10	44	2900	20	10	0.01090758414939046
unset	q.hasa	10	44	2900	100	1	0.0038132337387651203
unset	q.hasa	10	44	2900	100	2	0.0038375309761613605
unset	q.hasa	10	44	2900	100	3	0.003825832847505808
unset	q.hasa	10	44	2900	100	4	0.0038715454656630755
unset	q.hasa	10	44	2900	100	5	0.003827727874740958
unset	q.hasa	10	44	2900	100	6	0.0038080102391541003
unset	q.hasa	10	44	2900	100	7	0.003781951628625393
unset	q.hasa	10	44	2900	100	8	0.003696240456774831
unset	q.hasa	10	44	2900	100	9	0.0036641888972371818
unset	q.hasa	10	44	2900	100	10	0.0036048491857945918
unset	q.isa	10	44	2900	1000	1	0.0003558545494452119
unset	q.isa	10	44	2900	1000	2	0.00035074293334037067
unset	q.isa	10	44	2900	1000	3	0.0003499063672497869
unset	q.isa	10	44	2900	1000	4	0.0003524525631219149
unset	q.isa	10	44	2900	1000	5	0.0003527638716623187
unset	q.isa	10	44	2900	1000	6	0.00035788673814386127
unset	q.isa	10	44	2900	1000	7	0.0003490243135020137
unset	q.isa	10	44	2900	1000	8	0.0003620137441903353
unset	q.isa	10	44	2900	1000	9	0.000359730907715857
unset	q.isa	10	44	2900	1000	10	0.000355815134011209
unset	q AND r	10	44	2900	20000	1	1.8436168879270554e-05
unset	q AND r	10	44	2900	20000	2	1.854228749871254e-05
unset	q AND r	10	44	2900	20000	3	1.8592029390856625e-05
unset	q AND r	10	44	2900	20000	4	1.8688275292515754e-05
unset	q AND r	10	44	2900	20000	5	1.8485398963093756e-05
unset	q AND r	10	44	2900	20000	6	1.857662536203861e-05
unset	q AND r	10	44	2900	20000	7	1.885345089249313e-05
unset	q AND r	10	44	2900	20000	8	1.9702958129346372e-05
unset	q AND r	10	44	2900	20000	9	1.888388260267675e-05
unset	q AND r	10	44	2900	20000	10	1.825469471514225e-05
unset	q.toframe	10	44	2900	100	1	0.003653951985761523
unset	q.toframe	10	44	2900	100	2	0.0035802149772644043
unset	q.toframe	10	44	2900	100	3	0.00357819146476686
unset	q.toframe	10	44	2900	100	4	0.003568671178072691
unset	q.toframe	10	44	2900	100	5	0.00357186995446682
unset	q.toframe	10	44	2900	100	6	0.003576436201110482
unset	q.toframe	10	44	2900	100	7	0.003580728052183986
unset	q.toframe	10	44	2900	100	8	0.0035929014068096874
unset	q.toframe	10	44	2900	100	9	0.0035521873738616704
unset	q.toframe	10	44	2900	100	10	0.0035455047991126776
unset	q.summary	10	44	2900	500	1	0.00038561202399432657
unset	q.summary	10	44	2900	500	2	0.00038238647766411304
unset	q.summary	10	44	2900	500	3	0.00038140768744051456
unset	q.summary	10	44	2900	500	4	0.0004045079872012138
unset	q.summary	10	44	2900	500	5	0.0003910406809300184
unset	q.summary	10	44	2900	500	6	0.00038927938602864744
unset	q.summary	10	44	2900	500	7	0.0003841204550117254
unset	q.summary	10	44	2900	500	8	0.00038567726500332355
unset	q.summary	10	44	2900	500	9	0.00039388024248182774
unset	q.summary	10	44	2900	500	10	0.0004006059933453798
