Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
unset	query hasa	1	10	44	2900	2.5300000000000002	220065792.0	220065792.0
unset	query hasa	2	10	44	2900	2.76	220475392.0	220475392.0
unset	query hasa	3	10	44	2900	2.66	220196864.0	220196864.0
unset	query hasa	4	10	44	2900	2.5	220741632.0	220741632.0
unset	query hasa	5	10	44	2900	2.58	220598272.0	220598272.0
unset	query hasa	6	10	44	2900	2.56	220422144.0	220422144.0
unset	query hasa	7	10	44	2900	2.73	220618752.0	220618752.0
unset	query hasa	8	10	44	2900	2.69	220139520.0	220139520.0
unset	query hasa	9	10	44	2900	2.54	219979776.0	219979776.0
unset	query hasa	10	10	44	2900	2.75	220684288.0	220684288.0
unset	query isa	1	10	44	2900	2.81	219488256.0	219488256.0
unset	query isa	2	10	44	2900	2.7800000000000002	219987968.0	219987968.0
unset	query isa	3	10	44	2900	2.7800000000000002	219893760.0	219893760.0
unset	query isa	4	10	44	2900	2.4699999999999998	219889664.0	219889664.0
unset	query isa	5	10	44	2900	2.52	219754496.0	219754496.0
unset	query isa	6	10	44	2900	2.8	220094464.0	220094464.0
unset	query isa	7	10	44	2900	2.7	219467776.0	219467776.0
unset	query isa	8	10	44	2900	2.88	219627520.0	219627520.0
unset	query isa	9	10	44	2900	2.7	220143616.0	220143616.0
unset	query isa	10	10	44	2900	2.8	219824128.0	219824128.0
unset	query --summary	1	10	44	2900	2.64	219783168.0	219783168.0
unset	query --summary	2	10	44	2900	2.76	220041216.0	220041216.0
unset	query --summary	3	10	44	2900	2.62	219787264.0	219787264.0
unset	query --summary	4	10	44	2900	2.8	219602944.0	219602944.0
unset	query --summary	5	10	44	2900	2.82	220086272.0	220086272.0
unset	query --summary	6	10	44	2900	2.77	219664384.0	219664384.0
unset	query --summary	7	10	44	2900	2.85	219815936.0	219815936.0
unset	query --summary	8	10	44	2900	2.69	219824128.0	219824128.0
unset	query --summary	9	10	44	2900	2.52	219828224.0	219828224.0
unset	query --summary	10	10	44	2900	2.83	219652096.0	219652096.0
unset	query --features-summary	1	10	44	2900	2.54	221515776.0	221515776.0
unset	query --features-summary	2	10	44	2900	2.75	221798400.0	221798400.0
unset	query --features-summary	3	10	44	2900	2.73	221732864.0	221732864.0
unset	query --features-summary	4	10	44	2900	2.84	221388800.0	221388800.0
unset	query --features-summary	5	10	44	2900	2.79	221782016.0	221782016.0
unset	query --features-summary	6	10	44	2900	2.69	221782016.0	221782016.0
unset	query --features-summary	7	10	44	2900	2.7199999999999998	221413376.0	221413376.0
unset	query --features-summary	8	10	44	2900	2.67	221003776.0	221003776.0
unset	query --features-summary	9	10	44	2900	2.71	221732864.0	221732864.0
unset	query --features-summary	10	10	44	2900	2.67	221605888.0	221605888.0
unset	list samples	1	10	44	2900	2.85	218980352.0	218980352.0
unset	list samples	2	10	44	2900	2.65	219422720.0	219422720.0
unset	list samples	3	10	44	2900	2.65	219181056.0	219181056.0
unset	list samples	4	10	44	2900	2.66	219471872.0	219471872.0
unset	list samples	5	10	44	2900	2.61	218845184.0	218845184.0
unset	list samples	6	10	44	2900	2.66	219082752.0	219082752.0
unset	list samples	7	10	44	2900	2.68	219013120.0	219013120.0
unset	list samples	8	10	44	2900	2.66	219181056.0	219181056.0
unset	list samples	9	10	44	2900	2.69	218976256.0	218976256.0
unset	list samples	10	10	44	2900	2.69	219242496.0	219242496.0
