Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
alpha-0.5-cov-30 (assemblies)	db.samples_query	59	2221	2221	200	1	0.0017051212443038822
alpha-0.5-cov-30 (assemblies)	db.samples_query	59	2221	2221	200	2	0.0017019166285172104
alpha-0.5-cov-30 (assemblies)	db.samples_query	59	2221	2221	200	3	0.00169429047498852
alpha-0.5-cov-30 (assemblies)	db.samples_query	59	2221	2221	200	4	0.0016616022819653153
alpha-0.5-cov-30 (assemblies)	db.samples_query	59	2221	2221	200	5	0.0016897623147815466
alpha-0.5-cov-30 (assemblies)	db.samples_query	59	2221	2221	200	6	0.001732557350769639
alpha-0.5-cov-30 (assemblies)	db.samples_query	59	2221	2221	200	7	0.0017466662125661969
alpha-0.5-cov-30 (assemblies)	db.samples_query	59	2221	2221	200	8	0.0017228922247886657
alpha-0.5-cov-30 (assemblies)	db.samples_query	59	2221	2221	200	9	0.0016915114549919963
alpha-0.5-cov-30 (assemblies)	db.samples_query	59	2221	2221	200	10	0.0017732491437345743
alpha-0.5-cov-30 (assemblies)	q.join	59	2221	2221	100	1	0.0022688192501664163
alpha-0.5-cov-30 (assemblies)	q.join	59	2221	2221	100	2	0.002168256156146526
alpha-0.5-cov-30 (assemblies)	q.join	59	2221	2221	100	3	0.002144343024119735
alpha-0.5-cov-30 (assemblies)	q.join	59	2221	2221	100	4	0.0021459033712744715
alpha-0.5-cov-30 (assemblies)	q.join	59	2221	2221	100	5	0.00214319278486073
alpha-0.5-cov-30 (assemblies)	q.join	59	2221	2221	100	6	0.0021457490511238575
alpha-0.5-cov-30 (assemblies)	q.join	59	2221	2221	100	7	0.00214400983415544
alpha-0.5-cov-30 (assemblies)	q.join	59	2221	2221	100	8	0.0021434148866683244
alpha-0.5-cov-30 (assemblies)	q.join	59	2221	2221	100	9	0.0021410063095390797
alpha-0.5-cov-30 (assemblies)	q.join	59	2221	2221	100	10	0.0021461839322000744
alpha-0.5-cov-30 (assemblies)	q.features_summary	59	2221	2221	2	1	0.14557140273973346
alpha-0.5-cov-30 (assemblies)	q.features_summary	59	2221	2221	2	2	0.14552402682602406
alpha-0.5-cov-30 (assemblies)	q.features_summary	59	2221	2221	2	3	0.1456891051493585
alpha-0.5-cov-30 (assemblies)	q.features_summary	59	2221	2221	2	4	0.14571600081399083
alpha-0.5-cov-30 (assemblies)	q.features_summary	59	2221	2221	2	5	0.14571727439761162
alpha-0.5-cov-30 (assemblies)	q.features_summary	59	2221	2221	2	6	0.14577740570530295
alpha-0.5-cov-30 (assemblies)	q.features_summary	59	2221	2221	2	7	0.14545042300596833
alpha-0.5-cov-30 (assemblies)	q.features_summary	59	2221	2221	2	8	0.14527779864147305
alpha-0.5-cov-30 (assemblies)	q.features_summary	59	2221	2221	2	9	0.14564225869253278
alpha-0.5-cov-30 (assemblies)	q.features_summary	59	2221	2221	2	10	0.14811249263584614
alpha-0.5-cov-30 (assemblies)	q.features_comparison	59	2221	2221	2	1	0.16426288895308971
