Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
alpha-1.0-cov-30 (reads)	query hasa	1	59	3156	3156	2.7199999999999998	220844032.0	220844032.0
alpha-1.0-cov-30 (reads)	query hasa	2	59	3156	3156	2.92	221126656.0	221126656.0
alpha-1.0-cov-30 (reads)	query hasa	3	59	3156	3156	2.5300000000000002	220286976.0	220286976.0
alpha-1.0-cov-30 (reads)	query hasa	4	59	3156	3156	2.82	220467200.0	220467200.0
alpha-1.0-cov-30 (reads)	query hasa	5	59	3156	3156	2.94	220549120.0	220549120.0
alpha-1.0-cov-30 (reads)	query hasa	6	59	3156	3156	2.5300000000000002	220520448.0	220520448.0
alpha-1.0-cov-30 (reads)	query hasa	7	59	3156	3156	2.62	220549120.0	220549120.0
alpha-1.0-cov-30 (reads)	query hasa	8	59	3156	3156	2.7	220655616.0	220655616.0
alpha-1.0-cov-30 (reads)	query hasa	9	59	3156	3156	2.83	220778496.0	220778496.0
alpha-1.0-cov-30 (reads)	query hasa	10	59	3156	3156	2.69	220573696.0	220573696.0
alpha-1.0-cov-30 (reads)	query isa	1	59	3156	3156	2.68	220172288.0	220172288.0
alpha-1.0-cov-30 (reads)	query isa	2	59	3156	3156	2.68	220143616.0	220143616.0
alpha-1.0-cov-30 (reads)	query isa	3	59	3156	3156	2.7800000000000002	220180480.0	220180480.0
alpha-1.0-cov-30 (reads)	query isa	4	59	3156	3156	2.68	220557312.0	220557312.0
alpha-1.0-cov-30 (reads)	query isa	5	59	3156	3156	2.65	220364800.0	220364800.0
alpha-1.0-cov-30 (reads)	query isa	6	59	3156	3156	2.66	220495872.0	220495872.0
alpha-1.0-cov-30 (reads)	query isa	7	59	3156	3156	2.79	219951104.0	219951104.0
alpha-1.0-cov-30 (reads)	query isa	8	59	3156	3156	2.73	219983872.0	219983872.0
alpha-1.0-cov-30 (reads)	query isa	9	59	3156	3156	2.79	220618752.0	220618752.0
alpha-1.0-cov-30 (reads)	query isa	10	59	3156	3156	2.9	220123136.0	220123136.0
alpha-1.0-cov-30 (reads)	query --summary	1	59	3156	3156	2.89	220139520.0	220139520.0
alpha-1.0-cov-30 (reads)	query --summary	2	59	3156	3156	2.94	219914240.0	219914240.0
alpha-1.0-cov-30 (reads)	query --summary	3	59	3156	3156	2.66	220209152.0	220209152.0
alpha-1.0-cov-30 (reads)	query --summary	4	59	3156	3156	2.66	219742208.0	219742208.0
alpha-1.0-cov-30 (reads)	query --summary	5	59	3156	3156	2.69	219877376.0	219877376.0
alpha-1.0-cov-30 (reads)	query --summary	6	59	3156	3156	2.77	220123136.0	220123136.0
alpha-1.0-cov-30 (reads)	query --summary	7	59	3156	3156	2.63	219856896.0	219856896.0
alpha-1.0-cov-30 (reads)	query --summary	8	59	3156	3156	2.85	219865088.0	219865088.0
alpha-1.0-cov-30 (reads)	query --summary	9	59	3156	3156	2.7	219947008.0	219947008.0
alpha-1.0-cov-30 (reads)	query --summary	10	59	3156	3156	2.87	220069888.0	220069888.0
alpha-1.0-cov-30 (reads)	query --features-summary	1	59	3156	3156	3.25	233353216.0	233353216.0
alpha-1.0-cov-30 (reads)	query --features-summary	2	59	3156	3156	3.08	233013248.0	233013248.0
alpha-1.0-cov-30 (reads)	query --features-summary	3	59	3156	3156	3.31	232910848.0	232910848.0
alpha-1.0-cov-30 (reads)	query --features-summary	4	59	3156	3156	2.83	233443328.0	233443328.0
alpha-1.0-cov-30 (reads)	query --features-summary	5	59	3156	3156	3.09	233857024.0	233857024.0
alpha-1.0-cov-30 (reads)	query --features-summary	6	59	3156	3156	2.88	232955904.0	232955904.0
alpha-1.0-cov-30 (reads)	query --features-summary	7	59	3156	3156	3.07	233275392.0	233275392.0
alpha-1.0-cov-30 (reads)	query --features-summary	8	59	3156	3156	2.86	233070592.0	233070592.0
alpha-1.0-cov-30 (reads)	query --features-summary	9	59	3156	3156	2.82	232759296.0	232759296.0
alpha-1.0-cov-30 (reads)	query --features-summary	10	59	3156	3156	3.08	233324544.0	233324544.0
alpha-1.0-cov-30 (reads)	query isin	1	59	3156	3156	2.5	220581888.0	220581888.0
alpha-1.0-cov-30 (reads)	query isin	2	59	3156	3156	2.7199999999999998	220381184.0	220381184.0
alpha-1.0-cov-30 (reads)	query isin	3	59	3156	3156	2.88	220303360.0	220303360.0
