Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
alpha-10-cov-30 (reads)	query hasa	1	59	1712	21411	2.71	222556160.0	222556160.0
alpha-10-cov-30 (reads)	query hasa	2	59	1712	21411	2.76	222789632.0	222789632.0
alpha-10-cov-30 (reads)	query hasa	3	59	1712	21411	2.68	222224384.0	222224384.0
alpha-10-cov-30 (reads)	query hasa	4	59	1712	21411	2.73	222007296.0	222007296.0
alpha-10-cov-30 (reads)	query hasa	5	59	1712	21411	2.6	222281728.0	222281728.0
alpha-10-cov-30 (reads)	query hasa	6	59	1712	21411	2.57	222494720.0	222494720.0
alpha-10-cov-30 (reads)	query hasa	7	59	1712	21411	2.81	222310400.0	222310400.0
alpha-10-cov-30 (reads)	query hasa	8	59	1712	21411	2.6	222380032.0	222380032.0
alpha-10-cov-30 (reads)	query hasa	9	59	1712	21411	2.83	222314496.0	222314496.0
alpha-10-cov-30 (reads)	query hasa	10	59	1712	21411	2.79	222556160.0	222556160.0
alpha-10-cov-30 (reads)	query isa	1	59	1712	21411	2.64	220852224.0	220852224.0
alpha-10-cov-30 (reads)	query isa	2	59	1712	21411	2.75	220418048.0	220418048.0
alpha-10-cov-30 (reads)	query isa	3	59	1712	21411	2.7199999999999998	220655616.0	220655616.0
alpha-10-cov-30 (reads)	query isa	4	59	1712	21411	2.76	220237824.0	220237824.0
alpha-10-cov-30 (reads)	query isa	5	59	1712	21411	2.6	219967488.0	219967488.0
alpha-10-cov-30 (reads)	query isa	6	59	1712	21411	2.54	220258304.0	220258304.0
alpha-10-cov-30 (reads)	query isa	7	59	1712	21411	2.66	219803648.0	219803648.0
alpha-10-cov-30 (reads)	query isa	8	59	1712	21411	2.65	220327936.0	220327936.0
alpha-10-cov-30 (reads)	query isa	9	59	1712	21411	2.59	220278784.0	220278784.0
alpha-10-cov-30 (reads)	query isa	10	59	1712	21411	2.5	220028928.0	220028928.0
alpha-10-cov-30 (reads)	query --summary	1	59	1712	21411	2.74	220549120.0	220549120.0
alpha-10-cov-30 (reads)	query --summary	2	59	1712	21411	2.9	220090368.0	220090368.0
