Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
alpha-2.0-cov-30 (reads)	query hasa	1	59	5215	8094	2.73	221011968.0	221011968.0
alpha-2.0-cov-30 (reads)	query hasa	2	59	5215	8094	2.65	221462528.0	221462528.0
alpha-2.0-cov-30 (reads)	query hasa	3	59	5215	8094	2.74	220749824.0	220749824.0
alpha-2.0-cov-30 (reads)	query hasa	4	59	5215	8094	2.62	221519872.0	221519872.0
alpha-2.0-cov-30 (reads)	query hasa	5	59	5215	8094	2.68	221483008.0	221483008.0
alpha-2.0-cov-30 (reads)	query hasa	6	59	5215	8094	2.68	221016064.0	221016064.0
alpha-2.0-cov-30 (reads)	query hasa	7	59	5215	8094	2.74	220901376.0	220901376.0
alpha-2.0-cov-30 (reads)	query hasa	8	59	5215	8094	2.67	220930048.0	220930048.0
alpha-2.0-cov-30 (reads)	query hasa	9	59	5215	8094	2.64	221110272.0	221110272.0
alpha-2.0-cov-30 (reads)	query hasa	10	59	5215	8094	2.76	221442048.0	221442048.0
alpha-2.0-cov-30 (reads)	query isa	1	59	5215	8094	2.67	220160000.0	220160000.0
alpha-2.0-cov-30 (reads)	query isa	2	59	5215	8094	2.71	220397568.0	220397568.0
alpha-2.0-cov-30 (reads)	query isa	3	59	5215	8094	2.68	219996160.0	219996160.0
alpha-2.0-cov-30 (reads)	query isa	4	59	5215	8094	2.61	220221440.0	220221440.0
alpha-2.0-cov-30 (reads)	query isa	5	59	5215	8094	2.7	220286976.0	220286976.0
alpha-2.0-cov-30 (reads)	query isa	6	59	5215	8094	2.76	220483584.0	220483584.0
alpha-2.0-cov-30 (reads)	query isa	7	59	5215	8094	2.64	220028928.0	220028928.0
alpha-2.0-cov-30 (reads)	query isa	8	59	5215	8094	2.76	220532736.0	220532736.0
alpha-2.0-cov-30 (reads)	query isa	9	59	5215	8094	2.67	220250112.0	220250112.0
alpha-2.0-cov-30 (reads)	query isa	10	59	5215	8094	2.68	220553216.0	220553216.0
alpha-2.0-cov-30 (reads)	query --summary	1	59	5215	8094	2.63	220110848.0	220110848.0
alpha-2.0-cov-30 (reads)	query --summary	2	59	5215	8094	2.61	220176384.0	220176384.0
alpha-2.0-cov-30 (reads)	query --summary	3	59	5215	8094	2.66	220196864.0	220196864.0
alpha-2.0-cov-30 (reads)	query --summary	4	59	5215	8094	2.76	219656192.0	219656192.0
alpha-2.0-cov-30 (reads)	query --summary	5	59	5215	8094	2.79	219811840.0	219811840.0
alpha-2.0-cov-30 (reads)	query --summary	6	59	5215	8094	2.8	219947008.0	219947008.0
alpha-2.0-cov-30 (reads)	query --summary	7	59	5215	8094	2.76	220708864.0	220708864.0
alpha-2.0-cov-30 (reads)	query --summary	8	59	5215	8094	2.7199999999999998	219648000.0	219648000.0
alpha-2.0-cov-30 (reads)	query --summary	9	59	5215	8094	2.79	220610560.0	220610560.0
alpha-2.0-cov-30 (reads)	query --summary	10	59	5215	8094	2.8	219889664.0	219889664.0
alpha-2.0-cov-30 (reads)	query --features-summary	1	59	5215	8094	3.45	242675712.0	242675712.0
alpha-2.0-cov-30 (reads)	query --features-summary	2	59	5215	8094	3.43	242847744.0	242847744.0
alpha-2.0-cov-30 (reads)	query --features-summary	3	59	5215	8094	3.29	243101696.0	243101696.0
alpha-2.0-cov-30 (reads)	query --features-summary	4	59	5215	8094	3.2	242622464.0	242622464.0
alpha-2.0-cov-30 (reads)	query --features-summary	5	59	5215	8094	3.4699999999999998	242425856.0	242425856.0
alpha-2.0-cov-30 (reads)	query --features-summary	6	59	5215	8094	3.33	242728960.0	242728960.0
alpha-2.0-cov-30 (reads)	query --features-summary	7	59	5215	8094	3.36	242454528.0	242454528.0
alpha-2.0-cov-30 (reads)	query --features-summary	8	59	5215	8094	3.26	242982912.0	242982912.0
alpha-2.0-cov-30 (reads)	query --features-summary	9	59	5215	8094	3.25	242085888.0	242085888.0
alpha-2.0-cov-30 (reads)	query --features-summary	10	59	5215	8094	3.2	242950144.0	242950144.0
alpha-2.0-cov-30 (reads)	query isin	1	59	5215	8094	2.68	220540928.0	220540928.0
alpha-2.0-cov-30 (reads)	query isin	2	59	5215	8094	2.68	221065216.0	221065216.0
alpha-2.0-cov-30 (reads)	query isin	3	59	5215	8094	2.8	220770304.0	220770304.0
alpha-2.0-cov-30 (reads)	query isin	4	59	5215	8094	2.76	220057600.0	220057600.0
alpha-2.0-cov-30 (reads)	query isin	5	59	5215	8094	2.82	220381184.0	220381184.0
alpha-2.0-cov-30 (reads)	query isin	6	59	5215	8094	2.59	220336128.0	220336128.0
alpha-2.0-cov-30 (reads)	query isin	7	59	5215	8094	2.66	220524544.0	220524544.0
alpha-2.0-cov-30 (reads)	query isin	8	59	5215	8094	2.8	220200960.0	220200960.0
alpha-2.0-cov-30 (reads)	query isin	9	59	5215	8094	2.68	220569600.0	220569600.0
alpha-2.0-cov-30 (reads)	query isin	10	59	5215	8094	2.74	220053504.0	220053504.0
alpha-2.0-cov-30 (reads)	list samples	1	59	5215	8094	2.65	219443200.0	219443200.0
alpha-2.0-cov-30 (reads)	list samples	2	59	5215	8094	2.73	219426816.0	219426816.0
alpha-2.0-cov-30 (reads)	list samples	3	59	5215	8094	2.86	219787264.0	219787264.0
alpha-2.0-cov-30 (reads)	list samples	4	59	5215	8094	2.6	219275264.0	219275264.0
alpha-2.0-cov-30 (reads)	list samples	5	59	5215	8094	2.54	219271168.0	219271168.0
alpha-2.0-cov-30 (reads)	list samples	6	59	5215	8094	2.58	218972160.0	218972160.0
alpha-2.0-cov-30 (reads)	list samples	7	59	5215	8094	2.7	219471872.0	219471872.0
alpha-2.0-cov-30 (reads)	list samples	8	59	5215	8094	2.64	219164672.0	219164672.0
alpha-2.0-cov-30 (reads)	list samples	9	59	5215	8094	2.83	219353088.0	219353088.0
alpha-2.0-cov-30 (reads)	list samples	10	59	5215	8094	2.73	219508736.0	219508736.0
