Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
alpha-5.0-cov-30 (reads)	db.samples_query	59	6693	25970	200	1	0.0016608102899044752
alpha-5.0-cov-30 (reads)	db.samples_query	59	6693	25970	200	2	0.0017055554734542967
alpha-5.0-cov-30 (reads)	db.samples_query	59	6693	25970	200	3	0.001649786508642137
alpha-5.0-cov-30 (reads)	db.samples_query	59	6693	25970	200	4	0.0016659716796129942
alpha-5.0-cov-30 (reads)	db.samples_query	59	6693	25970	200	5	0.0016707426635548472
alpha-5.0-cov-30 (reads)	db.samples_query	59	6693	25970	200	6	0.0016381711373105645
alpha-5.0-cov-30 (reads)	db.samples_query	59	6693	25970	200	7	0.001635362571105361
alpha-5.0-cov-30 (reads)	db.samples_query	59	6693	25970	200	8	0.0016350090457126498
alpha-5.0-cov-30 (reads)	db.samples_query	59	6693	25970	200	9	0.0016522932518273593
alpha-5.0-cov-30 (reads)	db.samples_query	59	6693	25970	200	10	0.0016526650078594685
alpha-5.0-cov-30 (reads)	q.join	59	6693	25970	100	1	0.0021578873600810768
alpha-5.0-cov-30 (reads)	q.join	59	6693	25970	100	2	0.002144290544092655
alpha-5.0-cov-30 (reads)	q.join	59	6693	25970	100	3	0.0021732262801378967
alpha-5.0-cov-30 (reads)	q.join	59	6693	25970	100	4	0.0021607267670333387
alpha-5.0-cov-30 (reads)	q.join	59	6693	25970	100	5	0.002129761353135109
alpha-5.0-cov-30 (reads)	q.join	59	6693	25970	100	6	0.0021374788135290145
alpha-5.0-cov-30 (reads)	q.join	59	6693	25970	100	7	0.002214392302557826
alpha-5.0-cov-30 (reads)	q.join	59	6693	25970	100	8	0.0021355018857866525
alpha-5.0-cov-30 (reads)	q.join	59	6693	25970	100	9	0.0021320838201791046
alpha-5.0-cov-30 (reads)	q.join	59	6693	25970	100	10	0.0021259448677301406
alpha-5.0-cov-30 (reads)	q.features_summary	59	6693	25970	1	1	0.4707815181463957
alpha-5.0-cov-30 (reads)	q.features_summary	59	6693	25970	1	2	0.46786466985940933
alpha-5.0-cov-30 (reads)	q.features_summary	59	6693	25970	1	3	0.47314343880862
alpha-5.0-cov-30 (reads)	q.features_summary	59	6693	25970	1	4	0.469840120524168
alpha-5.0-cov-30 (reads)	q.features_summary	59	6693	25970	1	5	0.4673258550465107
alpha-5.0-cov-30 (reads)	q.features_summary	59	6693	25970	1	6	0.4787085857242346
alpha-5.0-cov-30 (reads)	q.features_summary	59	6693	25970	1	7	0.47558161802589893
alpha-5.0-cov-30 (reads)	q.features_summary	59	6693	25970	1	8	0.468505822122097
alpha-5.0-cov-30 (reads)	q.features_summary	59	6693	25970	1	9	0.4724640240892768
alpha-5.0-cov-30 (reads)	q.features_summary	59	6693	25970	1	10	0.4675959199666977
alpha-5.0-cov-30 (reads)	q.features_comparison	59	6693	25970	1	1	0.5223014233633876
alpha-5.0-cov-30 (reads)	q.features_comparison	59	6693	25970	1	2	0.5220920816063881
alpha-5.0-cov-30 (reads)	q.features_comparison	59	6693	25970	1	3	0.518366857431829
alpha-5.0-cov-30 (reads)	q.features_comparison	59	6693	25970	1	4	0.5289632547646761
alpha-5.0-cov-30 (reads)	q.features_comparison	59	6693	25970	1	5	0.5204504327848554
alpha-5.0-cov-30 (reads)	q.features_comparison	59	6693	25970	1	6	0.5209606075659394
alpha-5.0-cov-30 (reads)	q.features_comparison	59	6693	25970	1	7	0.5305220419541001
alpha-5.0-cov-30 (reads)	q.features_comparison	59	6693	25970	1	8	0.5218170117586851
alpha-5.0-cov-30 (reads)	q.features_comparison	59	6693	25970	1	9	0.5211100718006492
alpha-5.0-cov-30 (reads)	q.features_comparison	59	6693	25970	1	10	0.5296279564499855
alpha-5.0-cov-30 (reads)	q.hasa	59	6693	25970	50	1	0.006131316833198071
alpha-5.0-cov-30 (reads)	q.hasa	59	6693	25970	50	2	0.006096865572035312
alpha-5.0-cov-30 (reads)	q.hasa	59	6693	25970	50	3	0.006095374599099159
alpha-5.0-cov-30 (reads)	q.hasa	59	6693	25970	50	4	0.00610020749270916
alpha-5.0-cov-30 (reads)	q.hasa	59	6693	25970	50	5	0.006094551887363195
alpha-5.0-cov-30 (reads)	q.hasa	59	6693	25970	50	6	0.006091100368648767
