Name	Kind	Iteration	Number samples	Number features	Runtime	Memory (max)	Mmemory (max/process)
cov-20 (reads)	query	1	59	816	2.69	219967488.0	219967488.0
cov-20 (reads)	query	2	59	816	2.81	219832320.0	219832320.0
cov-20 (reads)	query	3	59	816	2.76	219619328.0	219619328.0
cov-20 (reads)	query	4	59	816	2.81	219881472.0	219881472.0
cov-20 (reads)	query	5	59	816	2.85	219697152.0	219697152.0
cov-20 (reads)	query	6	59	816	2.84	219824128.0	219824128.0
cov-20 (reads)	query	7	59	816	2.64	220045312.0	220045312.0
cov-20 (reads)	query	8	59	816	2.73	219815936.0	219815936.0
cov-20 (reads)	query	9	59	816	2.67	219758592.0	219758592.0
cov-20 (reads)	query	10	59	816	2.68	219635712.0	219635712.0
cov-20 (reads)	query summary	1	59	816	2.69	219504640.0	219504640.0
cov-20 (reads)	query summary	2	59	816	2.71	219484160.0	219484160.0
cov-20 (reads)	query summary	3	59	816	2.66	219488256.0	219488256.0
cov-20 (reads)	query summary	4	59	816	2.69	219353088.0	219353088.0
cov-20 (reads)	query summary	5	59	816	2.7	219414528.0	219414528.0
cov-20 (reads)	query summary	6	59	816	2.7	219234304.0	219234304.0
cov-20 (reads)	query summary	7	59	816	2.69	219586560.0	219586560.0
cov-20 (reads)	query summary	8	59	816	2.67	219430912.0	219430912.0
cov-20 (reads)	query summary	9	59	816	2.7	219885568.0	219885568.0
cov-20 (reads)	query summary	10	59	816	2.69	219791360.0	219791360.0
cov-20 (reads)	list samples	1	59	816	2.69	218796032.0	218796032.0
cov-20 (reads)	list samples	2	59	816	2.68	218431488.0	218431488.0
cov-20 (reads)	list samples	3	59	816	2.83	218693632.0	218693632.0
cov-20 (reads)	list samples	4	59	816	2.67	219013120.0	219013120.0
cov-20 (reads)	list samples	5	59	816	2.67	218484736.0	218484736.0
cov-20 (reads)	list samples	6	59	816	2.67	218857472.0	218857472.0
cov-20 (reads)	list samples	7	59	816	2.65	218488832.0	218488832.0
cov-20 (reads)	list samples	8	59	816	2.69	218697728.0	218697728.0
cov-20 (reads)	list samples	9	59	816	2.69	218615808.0	218615808.0
cov-20 (reads)	list samples	10	59	816	2.68	218529792.0	218529792.0
