Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
cov-40 (assemblies)	db.samples_query	59	1350	1350	200	1	0.0016363316122442483
cov-40 (assemblies)	db.samples_query	59	1350	1350	200	2	0.0016369558172300458
cov-40 (assemblies)	db.samples_query	59	1350	1350	200	3	0.0016385629028081894
cov-40 (assemblies)	db.samples_query	59	1350	1350	200	4	0.0016346163814887405
cov-40 (assemblies)	db.samples_query	59	1350	1350	200	5	0.00163750933483243
cov-40 (assemblies)	db.samples_query	59	1350	1350	200	6	0.0016341053834185004
cov-40 (assemblies)	db.samples_query	59	1350	1350	200	7	0.0016673204861581325
cov-40 (assemblies)	db.samples_query	59	1350	1350	200	8	0.001648832755163312
cov-40 (assemblies)	db.samples_query	59	1350	1350	200	9	0.0016385601181536913
cov-40 (assemblies)	db.samples_query	59	1350	1350	200	10	0.001637321412563324
cov-40 (assemblies)	q.join	59	1350	1350	100	1	0.0021198451798409225
cov-40 (assemblies)	q.join	59	1350	1350	100	2	0.0021193123888224364
cov-40 (assemblies)	q.join	59	1350	1350	100	3	0.002121542394161224
cov-40 (assemblies)	q.join	59	1350	1350	100	4	0.0021191578079015018
cov-40 (assemblies)	q.join	59	1350	1350	100	5	0.00212416460737586
cov-40 (assemblies)	q.join	59	1350	1350	100	6	0.0021212291345000267
cov-40 (assemblies)	q.join	59	1350	1350	100	7	0.0021715019550174477
cov-40 (assemblies)	q.join	59	1350	1350	100	8	0.0021236144099384545
cov-40 (assemblies)	q.join	59	1350	1350	100	9	0.0021308293659240006
cov-40 (assemblies)	q.join	59	1350	1350	100	10	0.0021194240637123583
cov-40 (assemblies)	q.features_summary	59	1350	1350	5	1	0.09023736082017422
cov-40 (assemblies)	q.features_summary	59	1350	1350	5	2	0.09102013017982244
cov-40 (assemblies)	q.features_summary	59	1350	1350	5	3	0.09028705507516861
cov-40 (assemblies)	q.features_summary	59	1350	1350	5	4	0.09336523823440075
cov-40 (assemblies)	q.features_summary	59	1350	1350	5	5	0.0920715183019638
cov-40 (assemblies)	q.features_summary	59	1350	1350	5	6	0.09141462333500386
cov-40 (assemblies)	q.features_summary	59	1350	1350	5	7	0.09041039887815713
cov-40 (assemblies)	q.features_summary	59	1350	1350	5	8	0.09012272693216801
cov-40 (assemblies)	q.features_summary	59	1350	1350	5	9	0.09013110157102347
cov-40 (assemblies)	q.features_summary	59	1350	1350	5	10	0.09271168299019336
cov-40 (assemblies)	q.features_comparison	59	1350	1350	2	1	0.10261819465085864
cov-40 (assemblies)	q.features_comparison	59	1350	1350	2	2	0.10206458764150739
cov-40 (assemblies)	q.features_comparison	59	1350	1350	2	3	0.10136158671230078
cov-40 (assemblies)	q.features_comparison	59	1350	1350	2	4	0.10166691010817885
cov-40 (assemblies)	q.features_comparison	59	1350	1350	2	5	0.10145666403695941
cov-40 (assemblies)	q.features_comparison	59	1350	1350	2	6	0.10131895449012518
cov-40 (assemblies)	q.features_comparison	59	1350	1350	2	7	0.10172366024926305
cov-40 (assemblies)	q.features_comparison	59	1350	1350	2	8	0.10135167231783271
cov-40 (assemblies)	q.features_comparison	59	1350	1350	2	9	0.10170771274715662
cov-40 (assemblies)	q.features_comparison	59	1350	1350	2	10	0.10142371477559209
cov-40 (assemblies)	q.hasa	59	1350	1350	500	1	0.0009771954361349345
cov-40 (assemblies)	q.hasa	59	1350	1350	500	2	0.0009660055637359619
cov-40 (assemblies)	q.hasa	59	1350	1350	500	3	0.0009668134078383445
cov-40 (assemblies)	q.hasa	59	1350	1350	500	4	0.0009653208404779434
cov-40 (assemblies)	q.hasa	59	1350	1350	500	5	0.0009661467615514994
