Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
cov-40 (reads)	query hasa	1	59	1350	1350	2.7	220573696.0	220573696.0
cov-40 (reads)	query hasa	2	59	1350	1350	2.7800000000000002	220504064.0	220504064.0
cov-40 (reads)	query hasa	3	59	1350	1350	2.68	220479488.0	220479488.0
cov-40 (reads)	query hasa	4	59	1350	1350	2.68	220598272.0	220598272.0
cov-40 (reads)	query hasa	5	59	1350	1350	2.68	220282880.0	220282880.0
cov-40 (reads)	query hasa	6	59	1350	1350	2.68	220741632.0	220741632.0
cov-40 (reads)	query hasa	7	59	1350	1350	2.67	220200960.0	220200960.0
cov-40 (reads)	query hasa	8	59	1350	1350	2.75	220483584.0	220483584.0
cov-40 (reads)	query hasa	9	59	1350	1350	2.71	220827648.0	220827648.0
cov-40 (reads)	query hasa	10	59	1350	1350	2.66	220295168.0	220295168.0
cov-40 (reads)	query isa	1	59	1350	1350	2.69	220205056.0	220205056.0
cov-40 (reads)	query isa	2	59	1350	1350	2.7800000000000002	220012544.0	220012544.0
cov-40 (reads)	query isa	3	59	1350	1350	2.61	220024832.0	220024832.0
cov-40 (reads)	query isa	4	59	1350	1350	2.8	220336128.0	220336128.0
cov-40 (reads)	query isa	5	59	1350	1350	2.73	220209152.0	220209152.0
cov-40 (reads)	query isa	6	59	1350	1350	2.7800000000000002	220102656.0	220102656.0
cov-40 (reads)	query isa	7	59	1350	1350	2.73	219828224.0	219828224.0
cov-40 (reads)	query isa	8	59	1350	1350	2.7199999999999998	219996160.0	219996160.0
cov-40 (reads)	query isa	9	59	1350	1350	2.87	219963392.0	219963392.0
cov-40 (reads)	query isa	10	59	1350	1350	2.67	220434432.0	220434432.0
cov-40 (reads)	query --summary	1	59	1350	1350	2.6	219783168.0	219783168.0
cov-40 (reads)	query --summary	2	59	1350	1350	2.8	220086272.0	220086272.0
cov-40 (reads)	query --summary	3	59	1350	1350	2.7199999999999998	220504064.0	220504064.0
cov-40 (reads)	query --summary	4	59	1350	1350	2.64	220274688.0	220274688.0
cov-40 (reads)	query --summary	5	59	1350	1350	2.67	219963392.0	219963392.0
cov-40 (reads)	query --summary	6	59	1350	1350	2.68	220000256.0	220000256.0
cov-40 (reads)	query --summary	7	59	1350	1350	2.68	220233728.0	220233728.0
cov-40 (reads)	query --summary	8	59	1350	1350	2.7199999999999998	219779072.0	219779072.0
cov-40 (reads)	query --summary	9	59	1350	1350	2.67	220381184.0	220381184.0
cov-40 (reads)	query --summary	10	59	1350	1350	2.75	219815936.0	219815936.0
cov-40 (reads)	query --features-summary	1	59	1350	1350	2.89	227315712.0	227315712.0
cov-40 (reads)	query --features-summary	2	59	1350	1350	3.0	227188736.0	227188736.0
cov-40 (reads)	query --features-summary	3	59	1350	1350	2.89	227741696.0	227741696.0
cov-40 (reads)	query --features-summary	4	59	1350	1350	2.89	227307520.0	227307520.0
cov-40 (reads)	query --features-summary	5	59	1350	1350	2.9	227270656.0	227270656.0
cov-40 (reads)	query --features-summary	6	59	1350	1350	2.83	227119104.0	227119104.0
cov-40 (reads)	query --features-summary	7	59	1350	1350	2.9	226611200.0	226611200.0
cov-40 (reads)	query --features-summary	8	59	1350	1350	2.94	227213312.0	227213312.0
cov-40 (reads)	query --features-summary	9	59	1350	1350	2.79	227131392.0	227131392.0
cov-40 (reads)	query --features-summary	10	59	1350	1350	2.9	226922496.0	226922496.0
cov-40 (reads)	query isin	1	59	1350	1350	2.71	220467200.0	220467200.0
cov-40 (reads)	query isin	2	59	1350	1350	2.74	220295168.0	220295168.0
cov-40 (reads)	query isin	3	59	1350	1350	2.66	220299264.0	220299264.0
cov-40 (reads)	query isin	4	59	1350	1350	2.81	220807168.0	220807168.0
cov-40 (reads)	query isin	5	59	1350	1350	2.7	220471296.0	220471296.0
cov-40 (reads)	query isin	6	59	1350	1350	2.66	220291072.0	220291072.0
cov-40 (reads)	query isin	7	59	1350	1350	2.69	220196864.0	220196864.0
cov-40 (reads)	query isin	8	59	1350	1350	2.77	220815360.0	220815360.0
cov-40 (reads)	query isin	9	59	1350	1350	2.7	220016640.0	220016640.0
cov-40 (reads)	query isin	10	59	1350	1350	2.79	220540928.0	220540928.0
cov-40 (reads)	list samples	1	59	1350	1350	2.7	219529216.0	219529216.0
cov-40 (reads)	list samples	2	59	1350	1350	2.68	219557888.0	219557888.0
cov-40 (reads)	list samples	3	59	1350	1350	2.69	219295744.0	219295744.0
cov-40 (reads)	list samples	4	59	1350	1350	2.75	219746304.0	219746304.0
cov-40 (reads)	list samples	5	59	1350	1350	2.67	220004352.0	220004352.0
cov-40 (reads)	list samples	6	59	1350	1350	2.81	219398144.0	219398144.0
cov-40 (reads)	list samples	7	59	1350	1350	2.81	219488256.0	219488256.0
cov-40 (reads)	list samples	8	59	1350	1350	2.74	219656192.0	219656192.0
cov-40 (reads)	list samples	9	59	1350	1350	2.69	218988544.0	218988544.0
cov-40 (reads)	list samples	10	59	1350	1350	2.71	219119616.0	219119616.0
