Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
cov-5 (reads)	db.samples_query	59	287	19986	200	1	0.0017743249982595443
cov-5 (reads)	db.samples_query	59	287	19986	200	2	0.001773284701630473
cov-5 (reads)	db.samples_query	59	287	19986	200	3	0.0017742954660207033
cov-5 (reads)	db.samples_query	59	287	19986	200	4	0.0017681379243731498
cov-5 (reads)	db.samples_query	59	287	19986	200	5	0.0017647921014577151
cov-5 (reads)	db.samples_query	59	287	19986	200	6	0.001769891967996955
cov-5 (reads)	db.samples_query	59	287	19986	200	7	0.001756929373368621
cov-5 (reads)	db.samples_query	59	287	19986	200	8	0.0017568646138533949
cov-5 (reads)	db.samples_query	59	287	19986	200	9	0.0016607649438083172
cov-5 (reads)	db.samples_query	59	287	19986	200	10	0.001668275292031467
cov-5 (reads)	q.join	59	287	19986	100	1	0.002165687596425414
cov-5 (reads)	q.join	59	287	19986	100	2	0.002148148762062192
cov-5 (reads)	q.join	59	287	19986	100	3	0.002142546307295561
cov-5 (reads)	q.join	59	287	19986	100	4	0.0021407081838697196
cov-5 (reads)	q.join	59	287	19986	100	5	0.002139812093228102
cov-5 (reads)	q.join	59	287	19986	100	6	0.0021325229573994874
cov-5 (reads)	q.join	59	287	19986	100	7	0.0021338486950844525
cov-5 (reads)	q.join	59	287	19986	100	8	0.0021355863008648158
cov-5 (reads)	q.join	59	287	19986	100	9	0.002122002998366952
cov-5 (reads)	q.join	59	287	19986	100	10	0.00211583124473691
cov-5 (reads)	q.features_summary	59	287	19986	10	1	0.029619515128433704
cov-5 (reads)	q.features_summary	59	287	19986	10	2	0.029480524361133575
cov-5 (reads)	q.features_summary	59	287	19986	10	3	0.029515137430280447
cov-5 (reads)	q.features_summary	59	287	19986	10	4	0.02953934669494629
cov-5 (reads)	q.features_summary	59	287	19986	10	5	0.02954096011817455
cov-5 (reads)	q.features_summary	59	287	19986	10	6	0.029526563826948404
cov-5 (reads)	q.features_summary	59	287	19986	10	7	0.029497287422418594
cov-5 (reads)	q.features_summary	59	287	19986	10	8	0.029487821366637947
cov-5 (reads)	q.features_summary	59	287	19986	10	9	0.02951745130121708
cov-5 (reads)	q.features_summary	59	287	19986	10	10	0.029747614450752736
cov-5 (reads)	q.features_comparison	59	287	19986	10	1	0.03315877243876457
cov-5 (reads)	q.features_comparison	59	287	19986	10	2	0.03332435972988605
cov-5 (reads)	q.features_comparison	59	287	19986	10	3	0.03307101298123598
cov-5 (reads)	q.features_comparison	59	287	19986	10	4	0.033075474202632904
cov-5 (reads)	q.features_comparison	59	287	19986	10	5	0.03406766764819622
cov-5 (reads)	q.features_comparison	59	287	19986	10	6	0.034356539882719514
cov-5 (reads)	q.features_comparison	59	287	19986	10	7	0.03454172303900123
cov-5 (reads)	q.features_comparison	59	287	19986	10	8	0.03510498432442546
cov-5 (reads)	q.features_comparison	59	287	19986	10	9	0.033123083878308535
cov-5 (reads)	q.features_comparison	59	287	19986	10	10	0.03388678338378668
cov-5 (reads)	q.hasa	59	287	19986	100	1	0.0034244041983038185
cov-5 (reads)	q.hasa	59	287	19986	100	2	0.0034263370092958213
cov-5 (reads)	q.hasa	59	287	19986	100	3	0.0034164829459041356
cov-5 (reads)	q.hasa	59	287	19986	100	4	0.0034127368219196794
cov-5 (reads)	q.hasa	59	287	19986	100	5	0.0034318164084106684
cov-5 (reads)	q.hasa	59	287	19986	100	6	0.003413520520552993
cov-5 (reads)	q.hasa	59	287	19986	100	7	0.0034226826578378678
cov-5 (reads)	q.hasa	59	287	19986	100	8	0.0034171723760664462
cov-5 (reads)	q.hasa	59	287	19986	100	9	0.00341516456566751
cov-5 (reads)	q.hasa	59	287	19986	100	10	0.003412974998354912
cov-5 (reads)	q.isa	59	287	19986	1000	1	0.000399352733977139
cov-5 (reads)	q.isa	59	287	19986	1000	2	0.00039600587636232375
cov-5 (reads)	q.isa	59	287	19986	1000	3	0.00039568528346717357
cov-5 (reads)	q.isa	59	287	19986	1000	4	0.00039567343145608904
cov-5 (reads)	q.isa	59	287	19986	1000	5	0.00039535509422421454
cov-5 (reads)	q.isa	59	287	19986	1000	6	0.0003955159988254309
cov-5 (reads)	q.isa	59	287	19986	1000	7	0.00040063488110899927
cov-5 (reads)	q.isa	59	287	19986	1000	8	0.000395203716121614
cov-5 (reads)	q.isa	59	287	19986	1000	9	0.00040767059475183486
cov-5 (reads)	q.isa	59	287	19986	1000	10	0.0003965357793495059
cov-5 (reads)	q AND r	59	287	19986	10000	1	2.04376601614058e-05
cov-5 (reads)	q AND r	59	287	19986	10000	2	2.0429555606096982e-05
cov-5 (reads)	q AND r	59	287	19986	10000	3	2.0418988075107336e-05
cov-5 (reads)	q AND r	59	287	19986	10000	4	2.0359394140541554e-05
cov-5 (reads)	q AND r	59	287	19986	10000	5	2.037800243124366e-05
cov-5 (reads)	q AND r	59	287	19986	10000	6	2.0521161425858736e-05
cov-5 (reads)	q AND r	59	287	19986	10000	7	2.0618856698274612e-05
cov-5 (reads)	q AND r	59	287	19986	10000	8	2.053514802828431e-05
cov-5 (reads)	q AND r	59	287	19986	10000	9	2.0642959512770175e-05
cov-5 (reads)	q AND r	59	287	19986	10000	10	2.066039890050888e-05
cov-5 (reads)	q.toframe	59	287	19986	100	1	0.003386842170730233
cov-5 (reads)	q.toframe	59	287	19986	100	2	0.003357312809675932
