Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
cov-5 (reads)	query hasa	1	59	287	19986	2.68	221753344.0	221753344.0
cov-5 (reads)	query hasa	2	59	287	19986	2.75	222740480.0	222740480.0
cov-5 (reads)	query hasa	3	59	287	19986	2.77	221843456.0	221843456.0
cov-5 (reads)	query hasa	4	59	287	19986	2.71	222089216.0	222089216.0
cov-5 (reads)	query hasa	5	59	287	19986	2.68	222511104.0	222511104.0
cov-5 (reads)	query hasa	6	59	287	19986	2.68	222564352.0	222564352.0
cov-5 (reads)	query hasa	7	59	287	19986	2.69	222318592.0	222318592.0
cov-5 (reads)	query hasa	8	59	287	19986	2.65	222392320.0	222392320.0
cov-5 (reads)	query hasa	9	59	287	19986	2.82	222130176.0	222130176.0
cov-5 (reads)	query hasa	10	59	287	19986	2.7199999999999998	222244864.0	222244864.0
cov-5 (reads)	query isa	1	59	287	19986	2.64	220520448.0	220520448.0
cov-5 (reads)	query isa	2	59	287	19986	2.68	220344320.0	220344320.0
cov-5 (reads)	query isa	3	59	287	19986	2.76	220176384.0	220176384.0
cov-5 (reads)	query isa	4	59	287	19986	2.68	220463104.0	220463104.0
cov-5 (reads)	query isa	5	59	287	19986	2.7	220205056.0	220205056.0
cov-5 (reads)	query isa	6	59	287	19986	2.77	220147712.0	220147712.0
cov-5 (reads)	query isa	7	59	287	19986	2.83	220397568.0	220397568.0
cov-5 (reads)	query isa	8	59	287	19986	2.79	220475392.0	220475392.0
cov-5 (reads)	query isa	9	59	287	19986	2.79	220315648.0	220315648.0
cov-5 (reads)	query isa	10	59	287	19986	2.76	220258304.0	220258304.0
cov-5 (reads)	query --summary	1	59	287	19986	2.75	219938816.0	219938816.0
cov-5 (reads)	query --summary	2	59	287	19986	2.76	219783168.0	219783168.0
cov-5 (reads)	query --summary	3	59	287	19986	2.82	220549120.0	220549120.0
cov-5 (reads)	query --summary	4	59	287	19986	2.82	220135424.0	220135424.0
cov-5 (reads)	query --summary	5	59	287	19986	2.79	220045312.0	220045312.0
cov-5 (reads)	query --summary	6	59	287	19986	2.77	219934720.0	219934720.0
cov-5 (reads)	query --summary	7	59	287	19986	2.82	220114944.0	220114944.0
cov-5 (reads)	query --summary	8	59	287	19986	2.87	219955200.0	219955200.0
cov-5 (reads)	query --summary	9	59	287	19986	2.84	220229632.0	220229632.0
cov-5 (reads)	query --summary	10	59	287	19986	2.73	219938816.0	219938816.0
cov-5 (reads)	query --features-summary	1	59	287	19986	2.8	224419840.0	224419840.0
cov-5 (reads)	query --features-summary	2	59	287	19986	2.87	224153600.0	224153600.0
cov-5 (reads)	query --features-summary	3	59	287	19986	2.92	224296960.0	224296960.0
cov-5 (reads)	query --features-summary	4	59	287	19986	2.83	225185792.0	225185792.0
cov-5 (reads)	query --features-summary	5	59	287	19986	2.88	224178176.0	224178176.0
cov-5 (reads)	query --features-summary	6	59	287	19986	2.85	224804864.0	224804864.0
cov-5 (reads)	query --features-summary	7	59	287	19986	2.79	224645120.0	224645120.0
cov-5 (reads)	query --features-summary	8	59	287	19986	2.89	224235520.0	224235520.0
cov-5 (reads)	query --features-summary	9	59	287	19986	2.82	224047104.0	224047104.0
cov-5 (reads)	query --features-summary	10	59	287	19986	2.87	224677888.0	224677888.0
cov-5 (reads)	query isin	1	59	287	19986	2.7800000000000002	220393472.0	220393472.0
cov-5 (reads)	query isin	2	59	287	19986	2.77	220839936.0	220839936.0
cov-5 (reads)	query isin	3	59	287	19986	2.86	220278784.0	220278784.0
cov-5 (reads)	query isin	4	59	287	19986	2.77	220229632.0	220229632.0
cov-5 (reads)	query isin	5	59	287	19986	2.85	220348416.0	220348416.0
cov-5 (reads)	query isin	6	59	287	19986	2.77	219844608.0	219844608.0
cov-5 (reads)	query isin	7	59	287	19986	2.87	220323840.0	220323840.0
cov-5 (reads)	query isin	8	59	287	19986	2.82	220147712.0	220147712.0
cov-5 (reads)	query isin	9	59	287	19986	2.81	220213248.0	220213248.0
cov-5 (reads)	query isin	10	59	287	19986	2.84	220639232.0	220639232.0
cov-5 (reads)	list samples	1	59	287	19986	2.81	219369472.0	219369472.0
cov-5 (reads)	list samples	2	59	287	19986	2.8	219877376.0	219877376.0
cov-5 (reads)	list samples	3	59	287	19986	2.8	219488256.0	219488256.0
cov-5 (reads)	list samples	4	59	287	19986	2.75	219533312.0	219533312.0
cov-5 (reads)	list samples	5	59	287	19986	2.93	219258880.0	219258880.0
cov-5 (reads)	list samples	6	59	287	19986	2.77	219242496.0	219242496.0
cov-5 (reads)	list samples	7	59	287	19986	2.71	219172864.0	219172864.0
cov-5 (reads)	list samples	8	59	287	19986	2.68	219340800.0	219340800.0
cov-5 (reads)	list samples	9	59	287	19986	2.83	219521024.0	219521024.0
cov-5 (reads)	list samples	10	59	287	19986	2.74	219287552.0	219287552.0
