Name	Kind	Iteration	Number samples	Number features	Runtime	Memory (max)	Mmemory (max/process)
cov-50 (reads)	query	1	59	1262	2.7800000000000002	219717632.0	219717632.0
cov-50 (reads)	query	2	59	1262	2.6	219852800.0	219852800.0
cov-50 (reads)	query	3	59	1262	2.76	219815936.0	219815936.0
cov-50 (reads)	query	4	59	1262	2.57	219856896.0	219856896.0
cov-50 (reads)	query	5	59	1262	2.63	219963392.0	219963392.0
cov-50 (reads)	query	6	59	1262	2.54	219987968.0	219987968.0
cov-50 (reads)	query	7	59	1262	2.73	220164096.0	220164096.0
cov-50 (reads)	query	8	59	1262	2.56	220024832.0	220024832.0
cov-50 (reads)	query	9	59	1262	2.7	220217344.0	220217344.0
cov-50 (reads)	query	10	59	1262	2.71	220004352.0	220004352.0
cov-50 (reads)	query summary	1	59	1262	2.73	219471872.0	219471872.0
cov-50 (reads)	query summary	2	59	1262	2.71	219668480.0	219668480.0
cov-50 (reads)	query summary	3	59	1262	2.86	219389952.0	219389952.0
cov-50 (reads)	query summary	4	59	1262	2.69	219774976.0	219774976.0
cov-50 (reads)	query summary	5	59	1262	2.68	219807744.0	219807744.0
cov-50 (reads)	query summary	6	59	1262	2.82	219537408.0	219537408.0
cov-50 (reads)	query summary	7	59	1262	2.7800000000000002	219705344.0	219705344.0
cov-50 (reads)	query summary	8	59	1262	2.79	219590656.0	219590656.0
cov-50 (reads)	query summary	9	59	1262	2.62	219840512.0	219840512.0
cov-50 (reads)	query summary	10	59	1262	2.69	219856896.0	219856896.0
cov-50 (reads)	list samples	1	59	1262	2.6	219021312.0	219021312.0
cov-50 (reads)	list samples	2	59	1262	2.77	218652672.0	218652672.0
cov-50 (reads)	list samples	3	59	1262	2.66	218243072.0	218243072.0
cov-50 (reads)	list samples	4	59	1262	2.62	218337280.0	218337280.0
cov-50 (reads)	list samples	5	59	1262	2.7	218923008.0	218923008.0
cov-50 (reads)	list samples	6	59	1262	2.77	218595328.0	218595328.0
cov-50 (reads)	list samples	7	59	1262	2.64	218791936.0	218791936.0
cov-50 (reads)	list samples	8	59	1262	2.73	218660864.0	218660864.0
cov-50 (reads)	list samples	9	59	1262	2.64	218521600.0	218521600.0
cov-50 (reads)	list samples	10	59	1262	2.76	218763264.0	218763264.0
