"Type"	"Simulation"	"RFN_Distance"	"wRFN_Distance"	"KC_Distance"
"reads"	"alpha-0.5-cov-30"	0.724137931034483	0.724137931034483	82.2862721254372
"reads"	"alpha-1.0-cov-30"	0.741379310344828	0.741379310344828	86.4074039717119
"reads"	"alpha-2.0-cov-30"	0.758620689655172	0.758620689655172	71.6071290315447
"reads"	"alpha-5.0-cov-30"	0.741379310344828	0.741379310344828	85.3172011341472
"reads"	"cov-10"	0.793103448275862	0.793103448275862	79.8654726608783
"reads"	"cov-20"	0.741379310344828	0.741379310344828	83.0794590495469
"reads"	"cov-30"	0.741379310344828	0.741379310344828	72.879554275353
"reads"	"cov-40"	0.741379310344828	0.741379310344828	92.0450989466216
"reads"	"cov-5"	0.982758620689655	0.982758620689655	144.962409994374
"reads"	"cov-50"	0.724137931034483	0.724137931034483	74.6019104975285
"assembly"	"alpha-0.5-cov-30"	0.724137931034483	0.724137931034483	69.2714237563352
"assembly"	"alpha-1.0-cov-30"	0.793103448275862	0.793103448275862	78.4076646313828
"assembly"	"alpha-2.0-cov-30"	0.982758620689655	0.982758620689655	190.398403971267
"assembly"	"alpha-5.0-cov-30"	0.982758620689655	0.982758620689655	184.351748498007
"assembly"	"cov-10"	0.758620689655172	0.758620689655172	68.2965595282469
"assembly"	"cov-20"	0.689655172413793	0.689655172413793	70.4717104764101
"assembly"	"cov-30"	0.706896551724138	0.706896551724138	73.2327805456829
"assembly"	"cov-40"	0.724137931034483	0.724137931034483	77.2222155082615
"assembly"	"cov-5"	0.706896551724138	0.706896551724138	69.5100921284063
"assembly"	"cov-50"	0.706896551724138	0.706896551724138	67.442969363085
