Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
unset (assemblies)	db.samples_query	59	1350	1426	200	1	0.0016453527752310038
unset (assemblies)	db.samples_query	59	1350	1426	200	2	0.0016428198106586934
unset (assemblies)	db.samples_query	59	1350	1426	200	3	0.001645260453224182
unset (assemblies)	db.samples_query	59	1350	1426	200	4	0.0016432464774698019
unset (assemblies)	db.samples_query	59	1350	1426	200	5	0.0016425950173288583
unset (assemblies)	db.samples_query	59	1350	1426	200	6	0.0016440328303724528
unset (assemblies)	db.samples_query	59	1350	1426	200	7	0.0016455267462879418
unset (assemblies)	db.samples_query	59	1350	1426	200	8	0.0016421829164028168
unset (assemblies)	db.samples_query	59	1350	1426	200	9	0.00164246859960258
unset (assemblies)	db.samples_query	59	1350	1426	200	10	0.0016429884545505046
unset (assemblies)	q.join	59	1350	1426	200	1	0.0016100569535046816
unset (assemblies)	q.join	59	1350	1426	200	2	0.0016121785808354617
unset (assemblies)	q.join	59	1350	1426	200	3	0.0016108085121959448
unset (assemblies)	q.join	59	1350	1426	200	4	0.0016224870085716247
unset (assemblies)	q.join	59	1350	1426	200	5	0.001610173573717475
unset (assemblies)	q.join	59	1350	1426	200	6	0.0016160857118666173
unset (assemblies)	q.join	59	1350	1426	200	7	0.0016280408296734095
unset (assemblies)	q.join	59	1350	1426	200	8	0.0016187065746635198
unset (assemblies)	q.join	59	1350	1426	200	9	0.0016153922025114297
unset (assemblies)	q.join	59	1350	1426	200	10	0.0016100340709090232
unset (assemblies)	q.features_summary	59	1350	1426	5	1	0.07781351432204246
unset (assemblies)	q.features_summary	59	1350	1426	5	2	0.07764112614095212
unset (assemblies)	q.features_summary	59	1350	1426	5	3	0.07774516977369786
unset (assemblies)	q.features_summary	59	1350	1426	5	4	0.07798559814691544
unset (assemblies)	q.features_summary	59	1350	1426	5	5	0.07746365033090115
unset (assemblies)	q.features_summary	59	1350	1426	5	6	0.07756514176726341
unset (assemblies)	q.features_summary	59	1350	1426	5	7	0.07777050584554672
unset (assemblies)	q.features_summary	59	1350	1426	5	8	0.07778524085879326
unset (assemblies)	q.features_summary	59	1350	1426	5	9	0.07756729274988175
unset (assemblies)	q.features_summary	59	1350	1426	5	10	0.07796035781502723
unset (assemblies)	q.features_comparison	59	1350	1426	5	1	0.09623743332922459
unset (assemblies)	q.features_comparison	59	1350	1426	5	2	0.09621420800685883
unset (assemblies)	q.features_comparison	59	1350	1426	5	3	0.096158267557621
unset (assemblies)	q.features_comparison	59	1350	1426	5	4	0.10027251988649369
unset (assemblies)	q.features_comparison	59	1350	1426	5	5	0.09845327399671078
unset (assemblies)	q.features_comparison	59	1350	1426	5	6	0.09629741162061692
