Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
unset (reads)	query hasa	1	59	1350	1426	3.14	231772160.0	231772160.0
unset (reads)	query hasa	2	59	1350	1426	3.44	231792640.0	231792640.0
unset (reads)	query hasa	3	59	1350	1426	3.33	231899136.0	231899136.0
unset (reads)	query hasa	4	59	1350	1426	3.19	232218624.0	232218624.0
unset (reads)	query hasa	5	59	1350	1426	3.36	232337408.0	232337408.0
unset (reads)	query hasa	6	59	1350	1426	3.18	232316928.0	232316928.0
unset (reads)	query hasa	7	59	1350	1426	3.21	232181760.0	232181760.0
unset (reads)	query hasa	8	59	1350	1426	3.01	232251392.0	232251392.0
unset (reads)	query hasa	9	59	1350	1426	3.52	232091648.0	232091648.0
unset (reads)	query hasa	10	59	1350	1426	3.13	232243200.0	232243200.0
unset (reads)	query isa	1	59	1350	1426	3.14	231518208.0	231518208.0
unset (reads)	query isa	2	59	1350	1426	3.46	231424000.0	231424000.0
unset (reads)	query isa	3	59	1350	1426	3.14	231727104.0	231727104.0
unset (reads)	query isa	4	59	1350	1426	3.44	231931904.0	231931904.0
unset (reads)	query isa	5	59	1350	1426	3.44	231972864.0	231972864.0
unset (reads)	query isa	6	59	1350	1426	3.38	232579072.0	232579072.0
unset (reads)	query isa	7	59	1350	1426	3.31	231731200.0	231731200.0
unset (reads)	query isa	8	59	1350	1426	3.32	232157184.0	232157184.0
unset (reads)	query isa	9	59	1350	1426	3.1	232103936.0	232103936.0
unset (reads)	query isa	10	59	1350	1426	3.2800000000000002	231936000.0	231936000.0
unset (reads)	query --summary	1	59	1350	1426	3.2	231751680.0	231751680.0
unset (reads)	query --summary	2	59	1350	1426	3.26	232214528.0	232214528.0
unset (reads)	query --summary	3	59	1350	1426	3.13	231923712.0	231923712.0
unset (reads)	query --summary	4	59	1350	1426	3.4699999999999998	231718912.0	231718912.0
unset (reads)	query --summary	5	59	1350	1426	3.19	231804928.0	231804928.0
unset (reads)	query --summary	6	59	1350	1426	3.4699999999999998	231870464.0	231870464.0
unset (reads)	query --summary	7	59	1350	1426	3.44	231809024.0	231809024.0
unset (reads)	query --summary	8	59	1350	1426	3.2	231735296.0	231735296.0
unset (reads)	query --summary	9	59	1350	1426	3.02	231985152.0	231985152.0
unset (reads)	query --summary	10	59	1350	1426	3.16	231649280.0	231649280.0
unset (reads)	query --features-summary	1	59	1350	1426	3.29	238538752.0	238538752.0
unset (reads)	query --features-summary	2	59	1350	1426	3.31	239013888.0	239013888.0
unset (reads)	query --features-summary	3	59	1350	1426	3.36	239292416.0	239292416.0
unset (reads)	query --features-summary	4	59	1350	1426	3.32	239284224.0	239284224.0
unset (reads)	query --features-summary	5	59	1350	1426	3.33	239489024.0	239489024.0
unset (reads)	query --features-summary	6	59	1350	1426	3.42	239730688.0	239730688.0
unset (reads)	query --features-summary	7	59	1350	1426	3.26	239566848.0	239566848.0
unset (reads)	query --features-summary	8	59	1350	1426	3.2800000000000002	239370240.0	239370240.0
unset (reads)	query --features-summary	9	59	1350	1426	3.3	239312896.0	239312896.0
unset (reads)	query --features-summary	10	59	1350	1426	3.5	239407104.0	239407104.0
unset (reads)	query isin	1	59	1350	1426	3.29	232525824.0	232525824.0
unset (reads)	query isin	2	59	1350	1426	3.4	231796736.0	231796736.0
unset (reads)	query isin	3	59	1350	1426	3.3	231976960.0	231976960.0
unset (reads)	query isin	4	59	1350	1426	3.4	232071168.0	232071168.0
unset (reads)	query isin	5	59	1350	1426	3.43	232136704.0	232136704.0
unset (reads)	query isin	6	59	1350	1426	3.31	232345600.0	232345600.0
unset (reads)	query isin	7	59	1350	1426	3.27	232165376.0	232165376.0
unset (reads)	query isin	8	59	1350	1426	3.2	232116224.0	232116224.0
unset (reads)	query isin	9	59	1350	1426	3.18	232308736.0	232308736.0
unset (reads)	query isin	10	59	1350	1426	3.21	232128512.0	232128512.0
unset (reads)	list samples	1	59	1350	1426	3.03	231145472.0	231145472.0
unset (reads)	list samples	2	59	1350	1426	3.23	231325696.0	231325696.0
unset (reads)	list samples	3	59	1350	1426	3.2	231407616.0	231407616.0
unset (reads)	list samples	4	59	1350	1426	3.22	230854656.0	230854656.0
unset (reads)	list samples	5	59	1350	1426	3.02	231116800.0	231116800.0
unset (reads)	list samples	6	59	1350	1426	3.29	231227392.0	231227392.0
unset (reads)	list samples	7	59	1350	1426	3.27	230961152.0	230961152.0
unset (reads)	list samples	8	59	1350	1426	3.31	230686720.0	230686720.0
unset (reads)	list samples	9	59	1350	1426	3.46	231124992.0	231124992.0
unset (reads)	list samples	10	59	1350	1426	3.25	230862848.0	230862848.0
