Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
unset (reads)	db.samples_query	59	915	20614	200	1	0.0016916210111230612
unset (reads)	db.samples_query	59	915	20614	200	2	0.001685392651706934
unset (reads)	db.samples_query	59	915	20614	200	3	0.0016855662409216165
unset (reads)	db.samples_query	59	915	20614	200	4	0.001684219865128398
unset (reads)	db.samples_query	59	915	20614	200	5	0.001671084463596344
unset (reads)	db.samples_query	59	915	20614	200	6	0.0016729372180998325
unset (reads)	db.samples_query	59	915	20614	200	7	0.0016712837014347314
unset (reads)	db.samples_query	59	915	20614	200	8	0.0016735739447176457
unset (reads)	db.samples_query	59	915	20614	200	9	0.001674333568662405
unset (reads)	db.samples_query	59	915	20614	200	10	0.0016825044993311166
unset (reads)	q.join	59	915	20614	200	1	0.0016383580304682255
unset (reads)	q.join	59	915	20614	200	2	0.0016370030771940946
unset (reads)	q.join	59	915	20614	200	3	0.0016376792080700397
unset (reads)	q.join	59	915	20614	200	4	0.0016272387839853764
unset (reads)	q.join	59	915	20614	200	5	0.0016272149980068207
unset (reads)	q.join	59	915	20614	200	6	0.0016275208815932274
unset (reads)	q.join	59	915	20614	200	7	0.0016242540068924427
unset (reads)	q.join	59	915	20614	200	8	0.0016255603171885014
unset (reads)	q.join	59	915	20614	200	9	0.001623588055372238
unset (reads)	q.join	59	915	20614	200	10	0.0016307973675429822
unset (reads)	q.features_summary	59	915	20614	5	1	0.06434275396168232
unset (reads)	q.features_summary	59	915	20614	5	2	0.06411432810127735
unset (reads)	q.features_summary	59	915	20614	5	3	0.06444692388176917
unset (reads)	q.features_summary	59	915	20614	5	4	0.06431247852742672
unset (reads)	q.features_summary	59	915	20614	5	5	0.06417449377477169
unset (reads)	q.features_summary	59	915	20614	5	6	0.0640107210725546
unset (reads)	q.features_summary	59	915	20614	5	7	0.06430149488151074
unset (reads)	q.features_summary	59	915	20614	5	8	0.06399882398545742
unset (reads)	q.features_summary	59	915	20614	5	9	0.0642678502947092
unset (reads)	q.features_summary	59	915	20614	5	10	0.06422028616070748
unset (reads)	q.features_comparison	59	915	20614	5	1	0.07886609174311161
unset (reads)	q.features_comparison	59	915	20614	5	2	0.07877372466027736
unset (reads)	q.features_comparison	59	915	20614	5	3	0.07841745279729366
unset (reads)	q.features_comparison	59	915	20614	5	4	0.07909250482916833
unset (reads)	q.features_comparison	59	915	20614	5	5	0.0786526158452034
unset (reads)	q.features_comparison	59	915	20614	5	6	0.07894089110195637
unset (reads)	q.features_comparison	59	915	20614	5	7	0.07855575568974019
unset (reads)	q.features_comparison	59	915	20614	5	8	0.07871416620910168
unset (reads)	q.features_comparison	59	915	20614	5	9	0.07885698713362217
unset (reads)	q.features_comparison	59	915	20614	5	10	0.07844306416809559
unset (reads)	q.hasa	59	915	20614	50	1	0.005274190679192543
unset (reads)	q.hasa	59	915	20614	50	2	0.005196216814219952
unset (reads)	q.hasa	59	915	20614	50	3	0.005191681422293187
unset (reads)	q.hasa	59	915	20614	50	4	0.0052002684399485586
unset (reads)	q.hasa	59	915	20614	50	5	0.005187065750360489
unset (reads)	q.hasa	59	915	20614	50	6	0.0051990609243512155
unset (reads)	q.hasa	59	915	20614	50	7	0.005191728323698044
unset (reads)	q.hasa	59	915	20614	50	8	0.005191435702145099
unset (reads)	q.hasa	59	915	20614	50	9	0.005187014639377594
unset (reads)	q.hasa	59	915	20614	50	10	0.0051959043741226195
unset (reads)	q.isa	59	915	20614	500	1	0.00041729861870408056
unset (reads)	q.isa	59	915	20614	500	2	0.00041433681920170784
unset (reads)	q.isa	59	915	20614	500	3	0.00041593582555651663
unset (reads)	q.isa	59	915	20614	500	4	0.0004146510660648346
unset (reads)	q.isa	59	915	20614	500	5	0.0004150502569973469
unset (reads)	q.isa	59	915	20614	500	6	0.00041616639867424963
unset (reads)	q.isa	59	915	20614	500	7	0.00041415227949619294
unset (reads)	q.isa	59	915	20614	500	8	0.0004148165695369244
