Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
unset (reads)	query hasa	1	59	915	20614	3.39	236527616.0	236527616.0
unset (reads)	query hasa	2	59	915	20614	3.27	236515328.0	236515328.0
unset (reads)	query hasa	3	59	915	20614	3.24	235982848.0	235982848.0
unset (reads)	query hasa	4	59	915	20614	3.2	236539904.0	236539904.0
unset (reads)	query hasa	5	59	915	20614	3.37	236048384.0	236048384.0
unset (reads)	query hasa	6	59	915	20614	3.35	236216320.0	236216320.0
unset (reads)	query hasa	7	59	915	20614	3.31	236060672.0	236060672.0
unset (reads)	query hasa	8	59	915	20614	3.03	236097536.0	236097536.0
unset (reads)	query hasa	9	59	915	20614	3.22	236642304.0	236642304.0
unset (reads)	query hasa	10	59	915	20614	3.21	236785664.0	236785664.0
unset (reads)	query isa	1	59	915	20614	3.23	234291200.0	234291200.0
unset (reads)	query isa	2	59	915	20614	3.14	234213376.0	234213376.0
unset (reads)	query isa	3	59	915	20614	3.2800000000000002	234532864.0	234532864.0
unset (reads)	query isa	4	59	915	20614	3.02	234205184.0	234205184.0
unset (reads)	query isa	5	59	915	20614	3.29	233713664.0	233713664.0
unset (reads)	query isa	6	59	915	20614	3.31	234045440.0	234045440.0
unset (reads)	query isa	7	59	915	20614	3.19	234053632.0	234053632.0
unset (reads)	query isa	8	59	915	20614	3.27	234168320.0	234168320.0
unset (reads)	query isa	9	59	915	20614	3.27	233607168.0	233607168.0
unset (reads)	query isa	10	59	915	20614	3.27	234008576.0	234008576.0
unset (reads)	query --summary	1	59	915	20614	3.04	234414080.0	234414080.0
unset (reads)	query --summary	2	59	915	20614	3.06	233648128.0	233648128.0
unset (reads)	query --summary	3	59	915	20614	3.26	234061824.0	234061824.0
unset (reads)	query --summary	4	59	915	20614	3.23	234090496.0	234090496.0
unset (reads)	query --summary	5	59	915	20614	3.29	233705472.0	233705472.0
unset (reads)	query --summary	6	59	915	20614	3.19	233537536.0	233537536.0
unset (reads)	query --summary	7	59	915	20614	3.18	234094592.0	234094592.0
unset (reads)	query --summary	8	59	915	20614	3.03	234221568.0	234221568.0
unset (reads)	query --summary	9	59	915	20614	3.26	233390080.0	233390080.0
unset (reads)	query --summary	10	59	915	20614	3.39	234061824.0	234061824.0
unset (reads)	query --features-summary	1	59	915	20614	3.32	241864704.0	241864704.0
unset (reads)	query --features-summary	2	59	915	20614	3.34	242143232.0	242143232.0
unset (reads)	query --features-summary	3	59	915	20614	3.12	241979392.0	241979392.0
unset (reads)	query --features-summary	4	59	915	20614	3.4	241541120.0	241541120.0
unset (reads)	query --features-summary	5	59	915	20614	3.41	240979968.0	240979968.0
unset (reads)	query --features-summary	6	59	915	20614	3.32	241061888.0	241061888.0
unset (reads)	query --features-summary	7	59	915	20614	3.19	241025024.0	241025024.0
unset (reads)	query --features-summary	8	59	915	20614	3.11	241065984.0	241065984.0
unset (reads)	query --features-summary	9	59	915	20614	3.08	241774592.0	241774592.0
unset (reads)	query --features-summary	10	59	915	20614	3.14	241061888.0	241061888.0
unset (reads)	query isin	1	59	915	20614	3.2800000000000002	233758720.0	233758720.0
unset (reads)	query isin	2	59	915	20614	3.27	234725376.0	234725376.0
unset (reads)	query isin	3	59	915	20614	3.18	234147840.0	234147840.0
unset (reads)	query isin	4	59	915	20614	3.37	234602496.0	234602496.0
unset (reads)	query isin	5	59	915	20614	3.34	234115072.0	234115072.0
unset (reads)	query isin	6	59	915	20614	3.37	234340352.0	234340352.0
unset (reads)	query isin	7	59	915	20614	3.2	233652224.0	233652224.0
unset (reads)	query isin	8	59	915	20614	3.35	233992192.0	233992192.0
unset (reads)	query isin	9	59	915	20614	3.27	234319872.0	234319872.0
unset (reads)	query isin	10	59	915	20614	3.21	233996288.0	233996288.0
unset (reads)	list samples	1	59	915	20614	3.09	233238528.0	233238528.0
unset (reads)	list samples	2	59	915	20614	3.2800000000000002	233013248.0	233013248.0
unset (reads)	list samples	3	59	915	20614	3.16	233607168.0	233607168.0
unset (reads)	list samples	4	59	915	20614	3.05	233451520.0	233451520.0
unset (reads)	list samples	5	59	915	20614	3.07	233566208.0	233566208.0
unset (reads)	list samples	6	59	915	20614	3.05	233005056.0	233005056.0
unset (reads)	list samples	7	59	915	20614	3.29	233410560.0	233410560.0
unset (reads)	list samples	8	59	915	20614	3.34	233279488.0	233279488.0
unset (reads)	list samples	9	59	915	20614	3.23	233824256.0	233824256.0
unset (reads)	list samples	10	59	915	20614	3.3	232898560.0	232898560.0
